   locus        mean         std         KLD
      89    0.765791    0.741331    0.001366
      90    0.786810    0.846961    0.008292
      91    0.722187    0.750045    0.003035
      92    0.715811    0.744605    0.003650
      93    0.803340    0.825045    0.002750
      94    0.691295    0.689151    0.004022
      95    0.776011    0.750771    0.001656
      96    0.761965    0.760121    0.000027
      97    0.741704    0.722984    0.001017
      98    0.704082    0.724073    0.003628
      99    0.715044    0.766626    0.008322
     100    0.734850    0.701873    0.003022
     101    0.777314    0.842928    0.009533
     102    0.733044    0.778217    0.005429
     103    0.703261    0.732024    0.004832
     104    0.700962    0.735460    0.006036
     105    0.779462    0.854619    0.012391
     106    0.805787    0.896006    0.018084
     107    0.762427    0.781142    0.000816
     108    0.770753    0.782487    0.000469
     109    0.864068    0.893765    0.010673
     110    0.724864    0.729354    0.000986
     111    0.846134    0.941207    0.022632
     112    0.764253    0.763786    0.000045
     113    0.706833    0.717483    0.002609
     114    0.706300    0.736184    0.004685
     115    0.745130    0.762026    0.000803
     116    0.733088    0.828238    0.022112
     117    0.861013    0.854094    0.008716
     118    0.783974    0.778069    0.000684
     119    0.771409    0.755652    0.000703
     120    0.738548    0.735309    0.000327
     121    0.708094    0.758756    0.008801
     122    0.730440    0.742634    0.001005
     123    0.788738    0.773931    0.001293
     124    0.746833    0.770998    0.001461
     125    0.737145    0.747059    0.000595
     126    0.676068    0.668127    0.006343
     127    0.755509    0.764176    0.000179
     128    0.807086    0.867600    0.009344
     129    0.711415    0.793799    0.019114
     130    0.854476    0.897795    0.010959
     131    0.766980    0.858421    0.018327
     132    0.777542    0.797482    0.001222
     133    0.700661    0.693391    0.003057
     134    0.773523    0.819672    0.004839
     135    0.703483    0.714679    0.002969
     136    0.697718    0.711003    0.003726
     137    0.775576    0.833898    0.007591
     138    0.737174    0.763777    0.002051
     139    0.768276    0.743362    0.001449
     140    0.750369    0.757497    0.000162
     141    0.661877    0.701781    0.013346
     142    0.789994    0.853239    0.009183
     143    0.714177    0.714043    0.001670
     144    0.731516    0.783058    0.006997
     145    0.827881    0.871804    0.007765
     146    0.777369    0.811090    0.002799
     147    0.725340    0.793458    0.012257
     148    0.756979    0.795589    0.003375
     149    0.708967    0.717855    0.002321
     150    0.774661    0.800459    0.001713
     151    0.800977    0.878617    0.013706
     152    0.726938    0.794675    0.011992
     153    0.683038    0.721632    0.009257
     154    0.679252    0.706739    0.007810
     155    0.713095    0.747518    0.004783
     156    0.761115    0.773352    0.000358
     157    0.704695    0.733034    0.004617
     158    0.775266    0.783288    0.000428
     159    0.679953    0.665804    0.006120
     160    0.845041    0.939214    0.022218
     161    0.777959    0.800250    0.001448
     162    0.727321    0.797287    0.012702
     163    0.746568    0.761540    0.000629
     164    0.774193    0.759588    0.000699
     165    0.794132    0.801972    0.001291
     166    0.743163    0.724760    0.000949
     167    0.752222    0.775369    0.001259
     168    0.826007    0.831111    0.003960
     169    0.760417    0.800803    0.003667
     170    0.812523    0.839666    0.004013
     171    1.165762    1.357959    0.142885
     172    0.775868    0.789238    0.000696
     173    0.721609    0.715407    0.001224
     174    0.778257    0.806798    0.002137
     175    0.916601    1.061824    0.051600
     176    0.672016    0.744288    0.021694
     177    0.714306    0.713940    0.001660
     178    0.790398    0.889906    0.021268
     179    0.767360    0.751141    0.000655
     180    0.829932    0.889462    0.010995
     181    0.884852    0.931260    0.016381
     182    0.859791    0.946525    0.021531
     183    0.760063    0.744258    0.000554
     184    0.654191    0.656945    0.010196
     185    0.801336    0.824491    0.002737
     186    0.814152    0.836303    0.003675
     187    0.819516    0.857196    0.005969
     188    0.703392    0.755700    0.009780
     189    0.823584    0.922874    0.022295
     190    0.752946    0.740081    0.000382
     191    0.760912    0.800112    0.003455
     192    0.777020    0.728721    0.005319
     193    0.738720    0.811738    0.012867
     194    0.766446    0.835910    0.010652
     195    0.732481    0.756505    0.001945
     196    0.751611    0.821788    0.011248
     197    0.797441    0.860279    0.009381
     198    0.816013    0.859399    0.006544
     199    0.761670    0.766605    0.000077
     200    0.735502    0.719530    0.001011
     201    0.747333    0.793357    0.004991
     202    0.665649    0.687370    0.009332
     203    0.757384    0.858073    0.022652
     204    0.732597    0.710582    0.001685
     205    0.712928    0.695249    0.002551
     206    0.743838    0.689957    0.006933
     207    0.864357    0.938590    0.018682
     208    0.763443    0.764316    0.000037
     209    0.796672    0.799984    0.001345
     210    0.812757    0.863847    0.007688
     211    0.700220    0.664209    0.006370
     212    0.743720    0.735955    0.000292
     213    0.787670    0.887660    0.021460
     214    0.717533    0.754691    0.004893
     215    0.778927    0.852300    0.011828
     216    0.742376    0.790776    0.005687
     217    0.728251    0.741799    0.001203
     218    0.733028    0.779867    0.005797
     219    0.823889    0.820178    0.003700
     220    0.696532    0.747629    0.010329
     221    0.753489    0.766221    0.000390
     222    0.758948    0.748008    0.000262
     223    0.795938    0.864652    0.010876
     224    0.692757    0.705903    0.004306
     225    0.727325    0.749154    0.001973
     226    0.709829    0.681901    0.004014
     227    0.820584    0.901132    0.015726
     228    0.736119    0.754747    0.001232
     229    0.718526    0.763348    0.006378
     230    0.813520    0.816662    0.002668
     231    0.756756    0.751377    0.000061
     232    0.713611    0.735329    0.002927
     233    0.785482    0.753846    0.002762
     234    0.787371    0.767373    0.001597
     235    0.763041    0.833805    0.011102
     236    0.792908    0.887931    0.019516
     237    0.784676    0.745027    0.003928
     238    0.736299    0.767011    0.002648
     239    0.748378    0.744514    0.000098
     240    0.790839    0.801556    0.001210
     241    0.674494    0.709805    0.009977
     242    0.714544    0.736368    0.002861
     243    0.744817    0.762699    0.000891
     244    0.656048    0.671346    0.010504
     245    0.739139    0.695042    0.004870
     246    0.901885    0.994789    0.029888
     247    0.772271    0.773026    0.000200
     248    0.830678    0.885941    0.010158
     249    0.734175    0.767232    0.003102
     250    0.741481    0.755064    0.000660
     251    0.827083    0.869456    0.007431
     252    0.736599    0.782055    0.005301
     253    0.711381    0.704541    0.002013
     254    0.783773    0.870117    0.016197
     255    0.694843    0.747554    0.011005
     256    0.813136    0.852830    0.005704
     257    0.726087    0.730915    0.000924
     258    0.717558    0.748446    0.003823
     259    0.726677    0.785557    0.009295
     260    0.765972    0.795369    0.001987
     261    0.745793    0.802957    0.007693
     262    0.735362    0.751790    0.001077
     263    0.747722    0.793313    0.004888
     264    0.784299    0.808482    0.001874
     265    0.776300    0.795866    0.001151
     266    0.781971    0.809215    0.002112
     267    0.695257    0.717573    0.004876
     268    0.702712    0.756575    0.010292
     269    0.769042    0.760047    0.000292
     270    0.922363    1.082503    0.059347
     271    0.766737    0.808084    0.003850
     272    0.763680    0.784642    0.001025
     273    0.777997    0.801852    0.001604
     274    0.696197    0.792951    0.028161
     275    0.720720    0.761605    0.005361
     276    0.762387    0.798683    0.002967
     277    0.801769    0.836023    0.004049
     278    0.688766    0.769757    0.022085
     279    0.737244    0.808102    0.012237
     280    0.727042    0.791850    0.011043
     281    0.949804    1.011558    0.033236
     282    0.686268    0.710272    0.006266
     283    0.712005    0.788451    0.016661
     284    0.785682    0.783441    0.000704
     285    0.743169    0.789929    0.005292
     286    0.726113    0.753299    0.002688
     287    0.803126    0.785642    0.002375
     288    0.774000    0.778365    0.000290
     289    0.815050    0.816663    0.002795
     290    0.762106    0.769567    0.000152
     291    0.792079    0.825061    0.003292
     292    0.757211    0.795218    0.003269
     293    0.811692    0.870876    0.009346
     294    0.728088    0.696571    0.003154
     295    0.769128    0.785092    0.000693
     296    0.805661    0.812297    0.002066
     297    0.728120    0.805830    0.015390
     298    0.792352    0.754644    0.003958
     299    0.704065    0.697281    0.002688
     300    0.749289    0.729886    0.000904
     301    0.765893    0.767217    0.000072
     302    0.776310    0.852738    0.012785
     303    0.780216    0.858920    0.013543
     304    0.750057    0.748210    0.000050
     305    0.713303    0.783122    0.014066
     306    0.669859    0.677455    0.007370
     307    0.823181    0.888342    0.011683
     308    0.695293    0.712327    0.004314
     309    0.764648    0.768519    0.000086
     310    0.702651    0.675300    0.004655
     311    0.742505    0.754979    0.000563
     312    0.774828    0.835704    0.008232
     313    0.833110    0.840716    0.004840
     314    0.728439    0.750194    0.001902
     315    0.779866    0.828468    0.005468
     316    0.713802    0.707757    0.001787
     317    0.849740    0.954599    0.026462
     318    0.704912    0.735762    0.004981
     319    0.751724    0.731872    0.000911
     320    0.798343    0.835414    0.004233
     321    0.791665    0.780492    0.001260
     322    0.813648    0.825510    0.002941
     323    0.777775    0.795240    0.001030
     324    0.818753    0.909577    0.018953
     325    0.724048    0.697747    0.002667
     326    0.766065    0.790078    0.001354
     327    0.735314    0.736858    0.000429
     328    0.690978    0.717972    0.006039
     329    0.730783    0.752776    0.001803
     330    0.797964    0.802608    0.001454
     331    0.705506    0.727403    0.003693
     332    0.771348    0.877008    0.024215
     333    0.718685    0.731744    0.001769
     334    0.748631    0.790208    0.004060
     335    0.773757    0.779789    0.000322
     336    0.748712    0.761895    0.000473
     337    0.681778    0.698984    0.006140
     338    0.763229    0.800386    0.003109
     339    0.690987    0.694432    0.004085
     340    0.707928    0.783948    0.017023
     341    0.765528    0.749869    0.000589
     342    0.780992    0.853801    0.011676
     343    0.740767    0.771887    0.002532
     344    0.745603    0.735230    0.000358
     345    0.808155    0.884464    0.013652
     346    0.641348    0.723321    0.033981
     347    0.853083    0.845327    0.007517
     348    0.793891    0.764021    0.002954
     349    0.852055    0.896187    0.010743
     350    0.787213    0.788375    0.000775
     351    0.695182    0.716852    0.004809
     352    0.702921    0.761436    0.011622
     353    0.738528    0.740316    0.000315
     354    0.671391    0.694334    0.008461
     355    0.833790    0.878027    0.008458
     356    0.724976    0.757686    0.003572
     357    0.780947    0.829612    0.005510
     358    0.751268    0.782949    0.002343
     359    0.771825    0.834836    0.008780
     360    0.807154    0.860236    0.007685
     361    0.760572    0.792252    0.002268
     362    0.820780    0.906021    0.017217
     363    0.789121    0.774531    0.001300
     364    0.756095    0.788976    0.002460
     365    0.711840    0.756009    0.006842
     366    0.741690    0.791650    0.006074
     367    0.678416    0.691723    0.006314
     368    0.717577    0.719824    0.001426
     369    0.689073    0.747406    0.013531
     370    0.724046    0.783833    0.009771
     371    0.701180    0.713868    0.003303
     372    0.790234    0.848194    0.007876
     373    0.746368    0.810470    0.009606
     374    0.893244    0.987311    0.028714
     375    0.710026    0.743363    0.004880
     376    1.156387    1.308342    0.125966
     377    1.401907    1.554596    0.250832
     378    0.944127    1.044361    0.040752
     379    0.779882    0.876478    0.020124
     380    0.699979    0.673336    0.004850
     381    0.805323    0.863546    0.008696
     382    0.788839    0.824707    0.003542
     383    0.834125    0.897028    0.012189
     384    0.711018    0.728068    0.002687
     385    0.682236    0.667054    0.005863
     386    0.800252    0.820341    0.002393
     387    0.712559    0.731710    0.002748
     388    0.752967    0.756054    0.000039
     389    0.755435    0.723116    0.002347
     390    0.758234    0.802120    0.004339
     391    0.825947    0.850641    0.005070
     392    0.770914    0.789604    0.000937
     393    0.738864    0.761226    0.001493
     394    0.818760    0.851413    0.005218
     395    0.730151    0.739761    0.000881
     396    0.759785    0.756657    0.000026
     397    0.755397    0.786946    0.002272
     398    0.826515    0.874570    0.008340
     399    0.737049    0.745974    0.000554
     400    0.732983    0.744709    0.000858
     401    0.751709    0.783277    0.002320
     402    0.737818    0.792122    0.007323
     403    0.803423    0.916091    0.026988
     404    0.737549    0.727430    0.000574
     405    0.761797    0.771849    0.000252
     406    0.732983    0.781741    0.006238
     407    0.723074    0.708371    0.001563
     408    0.695912    0.699557    0.003492
     409    0.759542    0.757046    0.000017
     410    0.807260    0.879451    0.012402
     411    0.823828    0.825096    0.003674
     412    0.811775    0.873299    0.009902
     413    0.795999    0.815682    0.002080
     414    0.771670    0.745236    0.001680
     415    0.725211    0.724736    0.000913
     416    0.711570    0.741390    0.004169
     417    0.695266    0.744096    0.009900
     418    0.813532    0.854680    0.005966
     419    0.824353    0.855164    0.005547
     420    0.723974    0.737428    0.001443
     421    0.697101    0.710526    0.003806
     422    0.730219    0.731863    0.000654
     423    0.819835    0.819146    0.003255
     424    0.729645    0.703397    0.002327
     425    0.802911    0.818062    0.002231
     426    0.770792    0.811226    0.003730
     427    0.749281    0.773784    0.001451
     428    0.768099    0.811522    0.004245
     429    0.761479    0.904134    0.044804
     430    0.797971    0.871674    0.012390
     431    0.716046    0.784440    0.013266
     432    0.749763    0.798367    0.005481
     433    0.797755    0.788085    0.001574
     434    0.798344    0.761851    0.004112
     435    0.737527    0.792429    0.007493
     436    0.697321    0.711656    0.003849
     437    0.781070    0.861611    0.014162
     438    0.876445    0.880297    0.011284
     439    0.768006    0.764081    0.000133
     440    0.913703    1.030826    0.039906
     441    0.694470    0.755744    0.013650
     442    0.760988    0.765382    0.000060
     443    0.804260    0.811403    0.001971
     444    0.776729    0.804414    0.001988
     445    0.725096    0.764073    0.004665
     446    0.760731    0.782474    0.001081
     447    0.825933    0.912241    0.017936
     448    0.706092    0.693827    0.002755
     449    0.699316    0.703583    0.003122
     450    0.732815    0.797501    0.010562
     451    0.736545    0.751090    0.000890
     452    0.733253    0.762161    0.002531
     453    0.782964    0.935442    0.048945
     454    0.775890    0.861434    0.015918
     455    0.795940    0.816732    0.002168
     456    0.715958    0.748312    0.004186
     457    0.691074    0.784477    0.027447
     458    0.788765    0.806570    0.001522
     459    0.702653    0.762899    0.012189
     460    0.754379    0.766184    0.000332
     461    0.719195    0.695807    0.002645
     462    0.772739    0.704002    0.010466
     463    0.722562    0.761039    0.004749
     464    0.700876    0.718124    0.003697
     465    0.677328    0.698279    0.007225
     466    0.711995    0.741675    0.004109
     467    0.707621    0.706017    0.002238
     468    0.700387    0.710523    0.003233
     469    0.736885    0.774935    0.003821
     470    0.735893    0.777292    0.004500
     471    0.784300    0.776668    0.000747
     472    0.711918    0.744399    0.004559
     473    0.753085    0.785708    0.002454
     474    0.730880    0.745042    0.001110
     475    0.684209    0.707638    0.006485
     476    0.760216    0.837930    0.013445
     477    0.752348    0.787738    0.002893
     478    0.749275    0.724908    0.001402
     479    0.770569    0.794334    0.001400
     480    0.721320    0.748836    0.003049
     481    0.727717    0.716033    0.001096
     482    0.753956    0.774035    0.000939
     483    0.756476    0.764782    0.000163
     484    0.688109    0.737115    0.010973
     485    0.749008    0.755593    0.000163
     486    0.686859    0.704948    0.005499
     487    0.734423    0.758614    0.001875
     488    0.706447    0.725752    0.003322
     489    0.774884    0.802275    0.001902
     490    0.789680    0.844750    0.007183
     491    0.831833    0.923644    0.020223
     492    0.723054    0.776518    0.008100
     493    0.674451    0.698295    0.008061
     494    0.802083    0.795879    0.001771
     495    0.689212    0.700580    0.004639
     496    0.822437    0.800738    0.004407
     497    0.651641    0.678283    0.012883
     498    0.702726    0.784151    0.019946
     499    0.741442    0.828972    0.018105
     500    0.691855    0.709430    0.004788
     501    0.780388    0.769375    0.000712
     502    0.778403    0.772248    0.000464
     503    0.755807    0.760554    0.000056
     504    0.743998    0.749816    0.000235
     505    0.749172    0.793655    0.004619
     506    0.671775    0.677078    0.006957
     507    0.732291    0.725200    0.000664
     508    0.813256    0.861600    0.007197
     509    0.734621    0.796332    0.009545
     510    0.739625    0.772030    0.002766
     511    0.781287    0.749466    0.002623
     512    0.700355    0.734854    0.006106
     513    0.814585    0.855312    0.005988
     514    0.703263    0.734017    0.005141
     515    0.786957    0.774584    0.001067
     516    0.746027    0.790503    0.004709
     517    0.677539    0.718012    0.010560
     518    0.732509    0.739548    0.000664
     519    0.750571    0.797852    0.005170
     520    0.759717    0.820297    0.008207
     521    0.744361    0.811980    0.010769
     522    0.752694    0.826120    0.012260
     523    0.749729    0.720356    0.002011
     524    0.709690    0.696075    0.002510
     525    0.769232    0.795948    0.001701
     526    0.729411    0.817314    0.019322
     527    0.739010    0.839785    0.024116
     528    0.760156    0.778704    0.000791
     529    0.702186    0.752162    0.009307
     530    0.781395    0.777445    0.000534
     531    0.720171    0.739191    0.002145
     532    0.764707    0.800432    0.002885
     533    0.784025    0.800268    0.001184
     534    0.689366    0.732794    0.009391
     535    0.727609    0.817734    0.020460
     536    0.685760    0.699934    0.005303
     537    0.812901    0.931970    0.030055
     538    0.806113    0.881312    0.013212
     539    0.743071    0.791396    0.005642
     540    0.819551    0.855843    0.005775
     541    0.841459    0.892695    0.010580
     542    0.814082    0.870441    0.008890
     543    0.807287    0.785069    0.003067
     544    0.812385    0.826196    0.002927
     545    0.727222    0.730260    0.000825
     546    0.728976    0.758891    0.002899
     547    0.726957    0.730191    0.000843
     548    0.782756    0.825634    0.004450
     549    0.757400    0.820825    0.009039
     550    0.711696    0.732856    0.003030
     551    0.830474    0.858267    0.005876
     552    0.974796    1.012438    0.036750
     553    0.751493    0.782975    0.002311
     554    0.726852    0.696292    0.003084
     555    0.706011    0.717138    0.002715
     556    0.692466    0.771954    0.020784
     557    0.781240    0.809991    0.002264
     558    0.766847    0.844762    0.013357
     559    0.726964    0.733622    0.000928
     560    0.765483    0.785804    0.000985
     561    0.703305    0.768279    0.013638
     562    0.709735    0.735818    0.003803
     563    0.777470    0.790362    0.000721
     564    0.750589    0.854873    0.024764
     565    0.726521    0.723666    0.000856
     566    0.739717    0.797138    0.008042
     567    0.703898    0.699458    0.002638
     568    0.731331    0.783694    0.007213
     569    0.749745    0.801453    0.006193
     570    0.682008    0.701400    0.006329
     571    0.721144    0.804502    0.018319
     572    0.743132    0.727773    0.000711
     573    0.744681    0.754173    0.000354
     574    0.760266    0.781344    0.001016
     575    0.708440    0.749724    0.006555
     576    0.947999    0.983353    0.029101
     577    0.710104    0.763972    0.009436
     578    0.785112    0.821383    0.003441
     579    0.757230    0.775091    0.000732
     580    0.737429    0.792890    0.007643
     581    0.697022    0.714861    0.004185
     582    0.702127    0.728447    0.004602
     583    0.838207    0.868081    0.007016
     584    0.737286    0.727486    0.000568
     585    0.730651    0.784297    0.007584
     586    0.765708    0.787993    0.001173
     587    0.781078    0.843559    0.008744
     588    0.736778    0.768493    0.002776
     589    0.781051    0.837846    0.007317
     590    0.788087    0.822084    0.003236
     591    0.771630    0.778533    0.000291
     592    0.758950    0.786282    0.001694
     593    0.801214    0.812972    0.001922
     594    0.707838    0.766040    0.010929
     595    0.707719    0.759969    0.009260
     596    0.764832    0.750825    0.000474
     597    0.791893    0.824679    0.003255
     598    0.767743    0.815094    0.005020
     599    0.635312    0.632482    0.014540
     600    0.751307    0.817458    0.010016
     601    0.733379    0.741424    0.000663
     602    0.884873    0.920530    0.014932
     603    0.679439    0.725345    0.011550
     604    0.745417    0.753828    0.000292
     605    0.694422    0.737771    0.008669
     606    0.720855    0.746460    0.002829
     607    0.709265    0.755457    0.007568
     608    0.737946    0.778773    0.004292
     609    0.775532    0.818193    0.004213
     610    0.700090    0.726191    0.004797
     611    0.780428    0.849974    0.010693
     612    0.736539    0.764862    0.002302
     613    0.762960    0.748366    0.000491
     614    0.740894    0.768450    0.002035
     615    0.707169    0.717571    0.002563
     616    0.766104    0.775964    0.000292
     617    0.769912    0.815337    0.004648
     618    0.817748    0.872971    0.008941
     619    0.747415    0.786793    0.003682
     620    0.764745    0.844089    0.013890
     621    0.692931    0.682392    0.004097
     622    0.826594    0.882753    0.009937
     623    0.753558    0.771759    0.000778
     624    0.725359    0.763505    0.004490
     625    0.750201    0.779715    0.002057
     626    0.670123    0.659172    0.007486
     627    0.742707    0.726104    0.000815
     628    0.765359    0.858719    0.019150
     629    0.830332    0.905490    0.014948
     630    0.758767    0.786666    0.001765
     631    0.784577    0.841046    0.007333
     632    0.654692    0.699946    0.016240
     633    0.724396    0.722773    0.000966
     634    0.722494    0.746254    0.002490
     635    0.775394    0.817399    0.004091
     636    0.735077    0.805225    0.012151
     637    0.700751    0.729010    0.005032
     638    0.721093    0.679967    0.005354
     639    0.692879    0.689733    0.003838
     640    0.757481    0.827512    0.011004
     641    0.703135    0.695818    0.002801
     642    0.759499    0.780466    0.001004
     643    0.846421    0.897638    0.011196
     644    0.786742    0.802168    0.001255
     645    0.782759    0.804892    0.001609
     646    0.735963    0.734995    0.000398
     647    0.740142    0.763196    0.001523
     648    0.769797    0.805580    0.002946
     649    0.719425    0.748610    0.003423
     650    0.712570    0.721354    0.002004
     651    0.788535    0.825236    0.003653
     652    0.725859    0.764573    0.004563
     653    0.805294    0.850983    0.006114
     654    0.767877    0.881799    0.028273
     655    0.714750    0.748048    0.004444
     656    0.676570    0.662619    0.006629
     657    0.831708    0.903866    0.014257
     658    0.745320    0.767905    0.001323
     659    0.748912    0.773420    0.001458
     660    0.737535    0.758947    0.001443
     661    0.716765    0.753155    0.004815
     662    0.744223    0.753936    0.000374
     663    0.805532    0.852805    0.006422
     664    0.705858    0.730657    0.004009
     665    0.706394    0.735398    0.004542
     666    0.779301    0.820481    0.004042
     667    0.781246    0.764460    0.001081
     668    0.779229    0.798705    0.001240
     669    0.718804    0.721127    0.001340
     670    0.724095    0.785584    0.010271
     671    0.737439    0.745947    0.000522
     672    0.777172    0.744629    0.002591
     673    0.774261    0.760220    0.000667
     674    0.800752    0.847533    0.006020
     675    0.777977    0.800411    0.001462
     676    0.816505    0.811811    0.002966
     677    0.687887    0.696279    0.004652
     678    0.728275    0.719963    0.000905
     679    0.778791    0.793879    0.000899
     680    0.741944    0.817714    0.013613
     681    0.818537    0.836704    0.003774
     682    0.701799    0.743380    0.007349
     683    0.720973    0.756109    0.004259
     684    0.743392    0.783222    0.003887
     685    0.705158    0.720822    0.003117
     686    0.745543    0.798708    0.006685
     687    0.733144    0.733202    0.000511
     688    0.798292    0.773968    0.002611
     689    0.821543    0.849378    0.004928
     690    0.713219    0.774983    0.011409
     691    0.890646    0.982193    0.027525
     692    0.787728    0.847206    0.008155
     693    0.765871    0.800398    0.002708
     694    0.732062    0.714298    0.001305
     695    0.727258    0.750751    0.002161
     696    0.782019    0.812687    0.002533
     697    0.817833    0.859879    0.006484
     698    0.693050    0.763276    0.016997
     699    0.823413    0.868734    0.007552
     700    0.733709    0.758808    0.002015
     701    0.760797    0.719304    0.003837
     702    0.741366    0.758822    0.000948
     703    0.739155    0.776321    0.003566
     704    0.667992    0.700470    0.010591
     705    0.694662    0.729422    0.006848
     706    0.922036    0.988050    0.027384
     707    0.786103    0.845213    0.008013
     708    0.729280    0.820736    0.020863
     709    0.761167    0.775889    0.000509
     710    0.704010    0.726713    0.003938
     711    0.764687    0.830769    0.009672
     712    0.749049    0.812928    0.009429
     713    0.699903    0.730917    0.005558
     714    0.714878    0.701234    0.002074
     715    0.740164    0.716478    0.001559
     716    0.686039    0.731451    0.010365
     717    0.788072    0.855283    0.010188
     718    0.749736    0.754750    0.000110
     719    0.741733    0.721291    0.001174
     720    0.713690    0.757088    0.006494
     721    0.695271    0.716300    0.004725
     722    0.829675    0.837626    0.004446
     723    0.761187    0.784745    0.001267
     724    0.841072    0.834067    0.005816
     725    0.813817    0.854752    0.005956
     726    0.738449    0.731938    0.000403
     727    0.796594    0.928497    0.036360
     728    0.787368    0.815182    0.002407
     729    0.731572    0.771331    0.004409
     730    0.770877    0.826486    0.006883
     731    0.698216    0.692818    0.003263
     732    0.726843    0.741405    0.001350
     733    0.760495    0.781846    0.001043
     734    0.758305    0.801162    0.004139
     735    0.773699    0.843151    0.010614
     736    0.829201    0.964972    0.038538
     737    0.750400    0.756093    0.000119
     738    0.748025    0.805409    0.007666
     739    0.720551    0.775836    0.008800
     740    0.700370    0.734566    0.006050
     741    0.718876    0.711626    0.001444
     742    0.743314    0.789089    0.005075
     743    0.745559    0.760944    0.000679
     744    0.746404    0.749799    0.000130
     745    0.760499    0.803496    0.004151
     746    0.740379    0.836249    0.021745
     747    0.739823    0.754616    0.000792
     748    0.795518    0.771824    0.002375
     749    0.780799    0.797115    0.001056
     750    0.679825    0.705817    0.007497
     751    0.707209    0.734011    0.004143
     752    0.794014    0.858071    0.009544
     753    0.720705    0.749020    0.003204
     754    0.742451    0.785462    0.004536
     755    0.791982    0.818268    0.002469
     756    0.973325    1.082105    0.050418
     757    0.753633    0.763774    0.000253
     758    0.799904    0.846316    0.005900
     759    0.789887    0.786700    0.000930
     760    0.802296    0.757035    0.005809
     761    0.826435    0.894524    0.012705
     762    0.760700    0.785664    0.001418
     763    0.909896    0.964752    0.022688
     764    0.777554    0.791407    0.000779
     765    0.804733    0.835038    0.003748
     766    0.699271    0.745986    0.008843
     767    0.802839    0.785578    0.002339
     768    0.722309    0.766155    0.005858
     769    0.809550    0.870582    0.009630
     770    0.748452    0.743652    0.000115
     771    0.719890    0.722051    0.001262
     772    0.695221    0.756737    0.013619
     773    0.870895    0.906103    0.012406
     774    0.820228    0.886915    0.011818
     775    0.718220    0.750787    0.004037
     776    0.665675    0.725994    0.018509
