   locus      deme_1      deme_2      deme_3      deme_4
      57    0.526000    0.466000    0.478000    0.479000
      58    0.485000    0.507000    0.482000    0.512000
      59    0.505000    0.526000    0.426000    0.518000
      60    0.512000    0.494000    0.550000    0.515000
      61    0.515000    0.516000    0.477000    0.471000
      62    0.426000    0.534000    0.485000    0.506000
      63    0.405000    0.478000    0.486000    0.561000
      64    0.458000    0.465000    0.508000    0.533000
      65    0.478000    0.534000    0.478000    0.516000
      66    0.479000    0.495000    0.527000    0.512000
      67    0.454000    0.523000    0.469000    0.515000
      68    0.498000    0.471000    0.518000    0.490000
      69    0.481000    0.530000    0.503000    0.473000
      70    0.493000    0.476000    0.491000    0.544000
      71    0.472000    0.480000    0.545000    0.499000
      72    0.521000    0.534000    0.493000    0.460000
      73    0.434000    0.467000    0.543000    0.491000
      74    0.508000    0.490000    0.465000    0.502000
      75    0.486000    0.472000    0.484000    0.510000
      76    0.462000    0.473000    0.511000    0.503000
      77    0.544000    0.553000    0.508000    0.494000
      78    0.582000    0.456000    0.490000    0.517000
      79    0.583000    0.498000    0.522000    0.461000
      80    0.526000    0.481000    0.497000    0.489000
      81    0.461000    0.549000    0.583000    0.450000
      82    0.508000    0.570000    0.467000    0.491000
      83    0.511000    0.487000    0.521000    0.462000
      84    0.452000    0.507000    0.468000    0.506000
      85    0.521000    0.510000    0.486000    0.497000
      86    0.465000    0.473000    0.507000    0.501000
      87    0.536000    0.510000    0.476000    0.471000
      88    0.411000    0.591000    0.511000    0.497000
      89    0.501000    0.513000    0.503000    0.486000
      90    0.562000    0.419000    0.508000    0.521000
      91    0.484000    0.549000    0.510000    0.492000
      92    0.508000    0.532000    0.488000    0.504000
      93    0.465000    0.598000    0.486000    0.500000
      94    0.469000    0.485000    0.511000    0.503000
      95    0.516000    0.549000    0.495000    0.497000
      96    0.494000    0.453000    0.503000    0.477000
      97    0.548000    0.446000    0.550000    0.463000
      98    0.491000    0.467000    0.536000    0.511000
      99    0.574000    0.536000    0.498000    0.485000
     100    0.485000    0.453000    0.489000    0.568000
     101    0.439000    0.528000    0.508000    0.544000
     102    0.437000    0.515000    0.490000    0.492000
     103    0.457000    0.475000    0.478000    0.541000
     104    0.518000    0.522000    0.459000    0.495000
     105    0.495000    0.473000    0.473000    0.577000
     106    0.412000    0.569000    0.498000    0.518000
     107    0.498000    0.520000    0.447000    0.518000
     108    0.470000    0.490000    0.515000    0.508000
     109    0.527000    0.463000    0.567000    0.471000
     110    0.445000    0.509000    0.484000    0.513000
     111    0.571000    0.548000    0.437000    0.454000
     112    0.465000    0.495000    0.532000    0.512000
     113    0.513000    0.514000    0.491000    0.513000
     114    0.516000    0.519000    0.477000    0.461000
     115    0.536000    0.495000    0.509000    0.476000
     116    0.522000    0.557000    0.519000    0.473000
     117    0.548000    0.443000    0.427000    0.563000
     118    0.474000    0.566000    0.460000    0.469000
     119    0.551000    0.491000    0.559000    0.461000
     120    0.542000    0.528000    0.439000    0.532000
     121    0.454000    0.520000    0.493000    0.532000
     122    0.502000    0.511000    0.522000    0.507000
     123    0.572000    0.537000    0.442000    0.493000
     124    0.536000    0.477000    0.545000    0.513000
     125    0.513000    0.502000    0.487000    0.491000
     126    0.504000    0.475000    0.472000    0.497000
     127    0.477000    0.532000    0.540000    0.494000
     128    0.488000    0.574000    0.498000    0.453000
     129    0.511000    0.467000    0.470000    0.553000
     130    0.483000    0.509000    0.557000    0.444000
     131    0.540000    0.458000    0.512000    0.459000
     132    0.543000    0.459000    0.477000    0.513000
     133    0.535000    0.470000    0.517000    0.462000
     134    0.484000    0.474000    0.575000    0.433000
     135    0.538000    0.507000    0.497000    0.464000
     136    0.503000    0.529000    0.487000    0.482000
     137    0.570000    0.455000    0.493000    0.490000
     138    0.518000    0.495000    0.474000    0.507000
     139    0.547000    0.498000    0.473000    0.490000
     140    0.455000    0.480000    0.570000    0.517000
     141    0.510000    0.465000    0.483000    0.498000
     142    0.545000    0.459000    0.469000    0.523000
     143    0.481000    0.507000    0.463000    0.542000
     144    0.502000    0.538000    0.507000    0.500000
     145    0.492000    0.560000    0.480000    0.487000
     146    0.559000    0.462000    0.554000    0.481000
     147    0.529000    0.530000    0.495000    0.459000
     148    0.484000    0.463000    0.481000    0.530000
     149    0.494000    0.465000    0.514000    0.495000
     150    0.510000    0.476000    0.600000    0.467000
     151    0.422000    0.443000    0.453000    0.565000
     152    0.489000    0.491000    0.495000    0.480000
     153    0.484000    0.482000    0.490000    0.530000
     154    0.515000    0.485000    0.488000    0.500000
     155    0.536000    0.500000    0.489000    0.474000
     156    0.529000    0.528000    0.446000    0.535000
     157    0.508000    0.483000    0.514000    0.468000
     158    0.520000    0.452000    0.489000    0.486000
     159    0.480000    0.497000    0.505000    0.510000
     160    0.580000    0.448000    0.468000    0.509000
     161    0.467000    0.487000    0.561000    0.527000
     162    0.427000    0.491000    0.534000    0.464000
     163    0.489000    0.504000    0.472000    0.465000
     164    0.492000    0.501000    0.495000    0.519000
     165    0.561000    0.450000    0.451000    0.491000
     166    0.539000    0.534000    0.495000    0.456000
     167    0.458000    0.512000    0.546000    0.485000
     168    0.500000    0.463000    0.530000    0.500000
     169    0.572000    0.480000    0.513000    0.497000
     170    0.552000    0.484000    0.494000    0.475000
     171    0.594000    0.632000    0.383000    0.430000
     172    0.580000    0.473000    0.451000    0.498000
     173    0.528000    0.520000    0.463000    0.560000
     174    0.453000    0.502000    0.457000    0.499000
     175    0.620000    0.448000    0.510000    0.496000
     176    0.454000    0.485000    0.474000    0.510000
     177    0.456000    0.522000    0.466000    0.501000
     178    0.471000    0.470000    0.512000    0.560000
     179    0.514000    0.551000    0.506000    0.497000
     180    0.486000    0.442000    0.534000    0.458000
     181    0.595000    0.486000    0.496000    0.451000
     182    0.582000    0.499000    0.572000    0.438000
     183    0.531000    0.504000    0.496000    0.509000
     184    0.504000    0.488000    0.510000    0.517000
     185    0.561000    0.436000    0.413000    0.552000
     186    0.492000    0.532000    0.462000    0.499000
     187    0.437000    0.485000    0.577000    0.517000
     188    0.493000    0.483000    0.514000    0.503000
     189    0.498000    0.415000    0.501000    0.573000
     190    0.475000    0.485000    0.516000    0.452000
     191    0.496000    0.488000    0.494000    0.488000
     192    0.511000    0.455000    0.530000    0.541000
     193    0.542000    0.522000    0.506000    0.518000
     194    0.499000    0.435000    0.514000    0.553000
     195    0.497000    0.455000    0.479000    0.506000
     196    0.575000    0.441000    0.510000    0.487000
     197    0.503000    0.494000    0.562000    0.474000
     198    0.577000    0.458000    0.540000    0.480000
     199    0.499000    0.489000    0.477000    0.552000
     200    0.475000    0.521000    0.485000    0.509000
     201    0.493000    0.508000    0.465000    0.495000
     202    0.517000    0.476000    0.499000    0.514000
     203    0.436000    0.510000    0.516000    0.494000
     204    0.485000    0.463000    0.471000    0.551000
     205    0.530000    0.520000    0.545000    0.470000
     206    0.539000    0.520000    0.497000    0.501000
     207    0.615000    0.504000    0.418000    0.531000
     208    0.518000    0.494000    0.553000    0.448000
     209    0.424000    0.496000    0.541000    0.524000
     210    0.471000    0.467000    0.481000    0.460000
     211    0.490000    0.481000    0.561000    0.478000
     212    0.490000    0.467000    0.461000    0.530000
     213    0.486000    0.560000    0.423000    0.497000
     214    0.454000    0.475000    0.507000    0.506000
     215    0.488000    0.566000    0.505000    0.445000
     216    0.507000    0.502000    0.482000    0.521000
     217    0.453000    0.536000    0.481000    0.544000
     218    0.538000    0.524000    0.461000    0.519000
     219    0.540000    0.558000    0.469000    0.432000
     220    0.537000    0.474000    0.549000    0.502000
     221    0.532000    0.531000    0.541000    0.503000
     222    0.529000    0.512000    0.528000    0.502000
     223    0.413000    0.599000    0.507000    0.501000
     224    0.477000    0.519000    0.505000    0.516000
     225    0.477000    0.547000    0.535000    0.447000
     226    0.468000    0.474000    0.555000    0.495000
     227    0.499000    0.449000    0.475000    0.595000
     228    0.508000    0.495000    0.517000    0.521000
     229    0.477000    0.505000    0.494000    0.527000
     230    0.502000    0.469000    0.459000    0.563000
     231    0.479000    0.484000    0.480000    0.525000
     232    0.467000    0.529000    0.466000    0.474000
     233    0.515000    0.521000    0.484000    0.502000
     234    0.502000    0.475000    0.445000    0.519000
     235    0.489000    0.439000    0.502000    0.576000
     236    0.567000    0.547000    0.446000    0.467000
     237    0.478000    0.452000    0.508000    0.520000
     238    0.515000    0.482000    0.478000    0.492000
     239    0.506000    0.477000    0.504000    0.506000
     240    0.538000    0.541000    0.516000    0.499000
     241    0.496000    0.476000    0.553000    0.496000
     242    0.507000    0.519000    0.551000    0.496000
     243    0.522000    0.470000    0.486000    0.532000
     244    0.472000    0.521000    0.495000    0.506000
     245    0.519000    0.458000    0.468000    0.509000
     246    0.553000    0.537000    0.569000    0.421000
     247    0.518000    0.513000    0.560000    0.436000
     248    0.561000    0.519000    0.460000    0.470000
     249    0.494000    0.445000    0.553000    0.517000
     250    0.497000    0.506000    0.477000    0.479000
     251    0.619000    0.415000    0.465000    0.514000
     252    0.450000    0.530000    0.505000    0.525000
     253    0.430000    0.477000    0.485000    0.537000
     254    0.595000    0.508000    0.466000    0.454000
     255    0.480000    0.499000    0.479000    0.565000
     256    0.560000    0.460000    0.472000    0.460000
     257    0.536000    0.471000    0.535000    0.467000
     258    0.520000    0.518000    0.488000    0.459000
     259    0.495000    0.471000    0.508000    0.473000
     260    0.522000    0.515000    0.474000    0.555000
     261    0.558000    0.463000    0.535000    0.515000
     262    0.569000    0.524000    0.445000    0.505000
     263    0.460000    0.421000    0.559000    0.503000
     264    0.502000    0.533000    0.477000    0.481000
     265    0.495000    0.477000    0.420000    0.539000
     266    0.470000    0.578000    0.466000    0.506000
     267    0.445000    0.508000    0.538000    0.494000
     268    0.556000    0.500000    0.494000    0.503000
     269    0.518000    0.503000    0.438000    0.505000
     270    0.636000    0.480000    0.471000    0.474000
     271    0.473000    0.508000    0.489000    0.488000
     272    0.513000    0.521000    0.456000    0.523000
     273    0.458000    0.516000    0.495000    0.470000
     274    0.516000    0.542000    0.572000    0.446000
     275    0.424000    0.525000    0.506000    0.532000
     276    0.462000    0.470000    0.560000    0.502000
     277    0.509000    0.440000    0.477000    0.494000
     278    0.456000    0.552000    0.528000    0.516000
     279    0.460000    0.513000    0.492000    0.545000
     280    0.481000    0.485000    0.522000    0.532000
     281    0.629000    0.464000    0.402000    0.522000
     282    0.497000    0.480000    0.497000    0.485000
     283    0.489000    0.498000    0.510000    0.513000
     284    0.583000    0.450000    0.567000    0.462000
     285    0.470000    0.510000    0.538000    0.477000
     286    0.443000    0.478000    0.542000    0.528000
     287    0.446000    0.442000    0.504000    0.563000
     288    0.506000    0.482000    0.458000    0.488000
     289    0.414000    0.564000    0.477000    0.488000
     290    0.524000    0.476000    0.457000    0.535000
     291    0.454000    0.522000    0.457000    0.512000
     292    0.504000    0.490000    0.532000    0.488000
     293    0.462000    0.471000    0.411000    0.567000
     294    0.522000    0.463000    0.519000    0.538000
     295    0.540000    0.470000    0.557000    0.485000
     296    0.437000    0.483000    0.480000    0.567000
     297    0.480000    0.528000    0.453000    0.509000
     298    0.548000    0.471000    0.537000    0.440000
     299    0.436000    0.517000    0.509000    0.504000
     300    0.541000    0.478000    0.481000    0.496000
     301    0.454000    0.535000    0.529000    0.483000
     302    0.571000    0.488000    0.479000    0.464000
     303    0.444000    0.485000    0.484000    0.559000
     304    0.527000    0.482000    0.493000    0.528000
     305    0.486000    0.548000    0.513000    0.495000
     306    0.451000    0.515000    0.499000    0.511000
     307    0.616000    0.462000    0.454000    0.504000
     308    0.511000    0.511000    0.498000    0.499000
     309    0.494000    0.462000    0.484000    0.541000
     310    0.552000    0.501000    0.504000    0.501000
     311    0.507000    0.522000    0.452000    0.499000
     312    0.509000    0.468000    0.572000    0.463000
     313    0.541000    0.440000    0.457000    0.527000
     314    0.415000    0.533000    0.489000    0.530000
     315    0.452000    0.546000    0.489000    0.512000
     316    0.538000    0.527000    0.469000    0.496000
     317    0.453000    0.514000    0.486000    0.574000
     318    0.509000    0.470000    0.504000    0.495000
     319    0.516000    0.539000    0.463000    0.503000
     320    0.530000    0.513000    0.494000    0.439000
     321    0.481000    0.521000    0.481000    0.475000
     322    0.552000    0.476000    0.453000    0.545000
     323    0.521000    0.461000    0.470000    0.509000
     324    0.461000    0.477000    0.545000    0.519000
     325    0.466000    0.520000    0.501000    0.463000
     326    0.489000    0.543000    0.515000    0.546000
     327    0.494000    0.498000    0.565000    0.486000
     328    0.491000    0.541000    0.523000    0.466000
     329    0.495000    0.459000    0.520000    0.497000
     330    0.467000    0.494000    0.552000    0.461000
     331    0.495000    0.520000    0.492000    0.476000
     332    0.486000    0.462000    0.493000    0.522000
     333    0.506000    0.518000    0.502000    0.459000
     334    0.458000    0.535000    0.484000    0.477000
     335    0.552000    0.455000    0.543000    0.545000
     336    0.484000    0.512000    0.503000    0.501000
     337    0.502000    0.508000    0.472000    0.543000
     338    0.495000    0.480000    0.481000    0.520000
     339    0.501000    0.540000    0.519000    0.457000
     340    0.591000    0.476000    0.476000    0.476000
     341    0.492000    0.469000    0.518000    0.504000
     342    0.450000    0.535000    0.554000    0.471000
     343    0.512000    0.500000    0.490000    0.493000
     344    0.541000    0.487000    0.479000    0.505000
     345    0.574000    0.467000    0.499000    0.508000
     346    0.493000    0.497000    0.537000    0.509000
     347    0.484000    0.489000    0.555000    0.494000
     348    0.540000    0.487000    0.437000    0.542000
     349    0.416000    0.519000    0.515000    0.573000
     350    0.511000    0.485000    0.475000    0.464000
     351    0.554000    0.480000    0.505000    0.513000
     352    0.463000    0.493000    0.473000    0.509000
     353    0.507000    0.584000    0.447000    0.499000
     354    0.520000    0.540000    0.510000    0.512000
     355    0.475000    0.584000    0.467000    0.487000
     356    0.522000    0.490000    0.492000    0.490000
     357    0.480000    0.497000    0.409000    0.582000
     358    0.473000    0.467000    0.531000    0.464000
     359    0.586000    0.491000    0.475000    0.514000
     360    0.555000    0.432000    0.540000    0.455000
     361    0.492000    0.494000    0.468000    0.544000
     362    0.386000    0.535000    0.518000    0.519000
     363    0.479000    0.578000    0.519000    0.449000
     364    0.513000    0.489000    0.496000    0.484000
     365    0.452000    0.518000    0.481000    0.519000
     366    0.481000    0.473000    0.550000    0.478000
     367    0.481000    0.473000    0.468000    0.522000
     368    0.540000    0.475000    0.547000    0.496000
     369    0.508000    0.482000    0.501000    0.504000
     370    0.530000    0.539000    0.500000    0.501000
     371    0.488000    0.480000    0.481000    0.534000
     372    0.488000    0.463000    0.461000    0.542000
     373    0.468000    0.457000    0.504000    0.530000
     374    0.389000    0.503000    0.493000    0.566000
     375    0.546000    0.473000    0.522000    0.464000
     376    0.664000    0.435000    0.481000    0.477000
     377    0.435000    0.684000    0.507000    0.410000
     378    0.464000    0.467000    0.591000    0.482000
     379    0.428000    0.555000    0.565000    0.514000
     380    0.500000    0.492000    0.477000    0.490000
     381    0.488000    0.581000    0.457000    0.479000
     382    0.510000    0.487000    0.575000    0.472000
     383    0.441000    0.547000    0.563000    0.482000
     384    0.484000    0.491000    0.454000    0.545000
     385    0.514000    0.476000    0.470000    0.498000
     386    0.579000    0.468000    0.501000    0.520000
     387    0.470000    0.481000    0.465000    0.546000
     388    0.502000    0.520000    0.540000    0.474000
     389    0.478000    0.510000    0.488000    0.459000
     390    0.481000    0.454000    0.536000    0.500000
     391    0.463000    0.580000    0.487000    0.461000
     392    0.518000    0.562000    0.493000    0.479000
     393    0.464000    0.481000    0.511000    0.476000
     394    0.517000    0.478000    0.565000    0.469000
     395    0.511000    0.474000    0.511000    0.518000
     396    0.516000    0.489000    0.480000    0.508000
     397    0.504000    0.506000    0.498000    0.503000
     398    0.479000    0.530000    0.555000    0.441000
     399    0.541000    0.470000    0.479000    0.494000
     400    0.466000    0.521000    0.507000    0.512000
     401    0.463000    0.501000    0.472000    0.523000
     402    0.526000    0.489000    0.534000    0.478000
     403    0.428000    0.477000    0.486000    0.576000
     404    0.509000    0.497000    0.486000    0.539000
     405    0.480000    0.468000    0.484000    0.507000
     406    0.475000    0.469000    0.520000    0.518000
     407    0.503000    0.483000    0.516000    0.502000
     408    0.553000    0.487000    0.517000    0.493000
     409    0.505000    0.491000    0.509000    0.496000
     410    0.471000    0.497000    0.502000    0.534000
     411    0.573000    0.429000    0.502000    0.538000
     412    0.501000    0.482000    0.481000    0.448000
     413    0.511000    0.519000    0.490000    0.523000
     414    0.485000    0.521000    0.489000    0.529000
     415    0.467000    0.462000    0.529000    0.534000
     416    0.525000    0.486000    0.495000    0.502000
     417    0.531000    0.525000    0.442000    0.478000
     418    0.432000    0.486000    0.474000    0.538000
     419    0.496000    0.442000    0.588000    0.470000
     420    0.514000    0.512000    0.444000    0.529000
     421    0.481000    0.506000    0.524000    0.526000
     422    0.483000    0.471000    0.495000    0.495000
     423    0.449000    0.476000    0.536000    0.527000
     424    0.462000    0.494000    0.499000    0.519000
     425    0.481000    0.469000    0.524000    0.486000
     426    0.535000    0.513000    0.531000    0.459000
     427    0.471000    0.503000    0.465000    0.511000
     428    0.456000    0.471000    0.570000    0.471000
     429    0.504000    0.542000    0.545000    0.454000
     430    0.550000    0.558000    0.436000    0.518000
     431    0.550000    0.518000    0.533000    0.469000
     432    0.535000    0.496000    0.555000    0.518000
     433    0.578000    0.492000    0.498000    0.485000
     434    0.559000    0.542000    0.455000    0.464000
     435    0.491000    0.477000    0.525000    0.483000
     436    0.478000    0.484000    0.556000    0.480000
     437    0.429000    0.487000    0.487000    0.534000
     438    0.553000    0.610000    0.439000    0.484000
     439    0.505000    0.531000    0.489000    0.469000
     440    0.601000    0.534000    0.437000    0.473000
     441    0.532000    0.536000    0.458000    0.457000
     442    0.507000    0.480000    0.468000    0.477000
     443    0.539000    0.458000    0.502000    0.519000
     444    0.481000    0.481000    0.483000    0.574000
     445    0.488000    0.460000    0.481000    0.540000
     446    0.542000    0.474000    0.421000    0.519000
     447    0.562000    0.432000    0.539000    0.509000
     448    0.466000    0.507000    0.509000    0.464000
     449    0.457000    0.471000    0.480000    0.568000
     450    0.487000    0.505000    0.477000    0.500000
     451    0.495000    0.495000    0.502000    0.498000
     452    0.436000    0.536000    0.533000    0.463000
     453    0.540000    0.543000    0.498000    0.478000
     454    0.497000    0.467000    0.578000    0.457000
     455    0.551000    0.493000    0.506000    0.484000
     456    0.484000    0.484000    0.523000    0.492000
     457    0.536000    0.453000    0.485000    0.468000
     458    0.419000    0.520000    0.506000    0.529000
     459    0.456000    0.508000    0.521000    0.535000
     460    0.551000    0.470000    0.528000    0.510000
     461    0.506000    0.518000    0.465000    0.522000
     462    0.547000    0.455000    0.484000    0.521000
     463    0.481000    0.471000    0.487000    0.533000
     464    0.491000    0.486000    0.533000    0.487000
     465    0.530000    0.444000    0.497000    0.529000
     466    0.486000    0.488000    0.557000    0.460000
     467    0.503000    0.458000    0.520000    0.481000
     468    0.526000    0.528000    0.514000    0.489000
     469    0.463000    0.514000    0.494000    0.489000
     470    0.517000    0.461000    0.517000    0.460000
     471    0.534000    0.469000    0.522000    0.469000
     472    0.507000    0.470000    0.489000    0.510000
     473    0.497000    0.495000    0.493000    0.516000
     474    0.493000    0.477000    0.497000    0.512000
     475    0.452000    0.516000    0.521000    0.521000
     476    0.537000    0.549000    0.492000    0.438000
     477    0.476000    0.532000    0.484000    0.465000
     478    0.474000    0.483000    0.520000    0.491000
     479    0.457000    0.541000    0.503000    0.532000
     480    0.536000    0.502000    0.467000    0.531000
     481    0.468000    0.478000    0.465000    0.499000
     482    0.461000    0.488000    0.498000    0.504000
     483    0.509000    0.455000    0.579000    0.514000
     484    0.495000    0.495000    0.544000    0.510000
     485    0.445000    0.563000    0.476000    0.505000
     486    0.514000    0.489000    0.531000    0.517000
     487    0.530000    0.481000    0.535000    0.489000
     488    0.455000    0.504000    0.465000    0.511000
     489    0.501000    0.545000    0.470000    0.481000
     490    0.478000    0.555000    0.426000    0.517000
     491    0.574000    0.526000    0.538000    0.479000
     492    0.573000    0.444000    0.511000    0.503000
     493    0.478000    0.507000    0.496000    0.481000
     494    0.472000    0.497000    0.550000    0.576000
     495    0.514000    0.526000    0.469000    0.496000
     496    0.497000    0.474000    0.481000    0.541000
     497    0.509000    0.477000    0.509000    0.488000
     498    0.513000    0.458000    0.500000    0.510000
     499    0.537000    0.564000    0.456000    0.466000
     500    0.485000    0.477000    0.532000    0.514000
     501    0.476000    0.538000    0.481000    0.475000
     502    0.571000    0.476000    0.496000    0.544000
     503    0.449000    0.489000    0.466000    0.494000
     504    0.500000    0.480000    0.476000    0.526000
     505    0.489000    0.490000    0.521000    0.498000
     506    0.544000    0.483000    0.522000    0.465000
     507    0.511000    0.450000    0.495000    0.506000
     508    0.554000    0.463000    0.475000    0.553000
     509    0.513000    0.477000    0.531000    0.517000
     510    0.555000    0.521000    0.458000    0.473000
     511    0.547000    0.501000    0.526000    0.481000
     512    0.540000    0.491000    0.521000    0.479000
     513    0.507000    0.573000    0.423000    0.544000
     514    0.472000    0.533000    0.453000    0.474000
     515    0.487000    0.502000    0.551000    0.498000
     516    0.480000    0.493000    0.485000    0.510000
     517    0.488000    0.491000    0.485000    0.510000
     518    0.523000    0.534000    0.472000    0.527000
     519    0.520000    0.490000    0.523000    0.452000
     520    0.501000    0.548000    0.495000    0.457000
     521    0.506000    0.491000    0.519000    0.541000
     522    0.505000    0.553000    0.541000    0.476000
     523    0.536000    0.474000    0.486000    0.468000
     524    0.498000    0.518000    0.466000    0.511000
     525    0.473000    0.533000    0.534000    0.482000
     526    0.558000    0.466000    0.493000    0.451000
     527    0.461000    0.574000    0.535000    0.457000
     528    0.493000    0.534000    0.458000    0.497000
     529    0.500000    0.492000    0.538000    0.516000
     530    0.468000    0.554000    0.545000    0.454000
     531    0.538000    0.510000    0.493000    0.491000
     532    0.466000    0.548000    0.443000    0.554000
     533    0.455000    0.602000    0.504000    0.470000
     534    0.489000    0.507000    0.512000    0.471000
     535    0.462000    0.493000    0.511000    0.456000
     536    0.507000    0.477000    0.515000    0.526000
     537    0.421000    0.534000    0.422000    0.540000
     538    0.464000    0.425000    0.563000    0.519000
     539    0.497000    0.503000    0.464000    0.505000
     540    0.536000    0.519000    0.427000    0.523000
     541    0.461000    0.534000    0.511000    0.486000
     542    0.415000    0.530000    0.519000    0.543000
     543    0.558000    0.491000    0.551000    0.438000
     544    0.504000    0.529000    0.534000    0.520000
     545    0.550000    0.451000    0.500000    0.505000
     546    0.489000    0.488000    0.492000    0.488000
     547    0.500000    0.538000    0.447000    0.533000
     548    0.437000    0.496000    0.443000    0.550000
     549    0.452000    0.511000    0.501000    0.514000
     550    0.441000    0.516000    0.470000    0.521000
     551    0.543000    0.454000    0.587000    0.454000
     552    0.620000    0.425000    0.517000    0.491000
     553    0.491000    0.531000    0.480000    0.472000
     554    0.489000    0.528000    0.442000    0.466000
     555    0.476000    0.503000    0.501000    0.492000
     556    0.532000    0.475000    0.537000    0.532000
     557    0.451000    0.497000    0.508000    0.469000
     558    0.500000    0.477000    0.490000    0.544000
     559    0.507000    0.473000    0.512000    0.530000
     560    0.469000    0.478000    0.463000    0.534000
     561    0.469000    0.532000    0.550000    0.458000
     562    0.541000    0.519000    0.552000    0.475000
     563    0.550000    0.510000    0.443000    0.481000
     564    0.547000    0.429000    0.529000    0.510000
     565    0.471000    0.484000    0.516000    0.549000
     566    0.521000    0.479000    0.527000    0.462000
     567    0.515000    0.491000    0.442000    0.507000
     568    0.503000    0.539000    0.482000    0.499000
     569    0.516000    0.490000    0.528000    0.475000
     570    0.501000    0.526000    0.499000    0.495000
     571    0.506000    0.492000    0.493000    0.485000
     572    0.498000    0.500000    0.498000    0.472000
     573    0.478000    0.495000    0.501000    0.467000
     574    0.516000    0.535000    0.544000    0.498000
     575    0.524000    0.514000    0.513000    0.522000
     576    0.620000    0.515000    0.491000    0.433000
     577    0.522000    0.509000    0.551000    0.452000
     578    0.490000    0.525000    0.527000    0.479000
     579    0.446000    0.507000    0.542000    0.487000
     580    0.493000    0.473000    0.525000    0.546000
     581    0.511000    0.489000    0.481000    0.475000
     582    0.552000    0.521000    0.522000    0.484000
     583    0.538000    0.459000    0.428000    0.544000
     584    0.498000    0.496000    0.469000    0.528000
     585    0.489000    0.495000    0.516000    0.506000
     586    0.488000    0.468000    0.486000    0.538000
     587    0.552000    0.458000    0.472000    0.505000
     588    0.505000    0.485000    0.509000    0.511000
     589    0.568000    0.559000    0.467000    0.459000
     590    0.469000    0.531000    0.454000    0.487000
     591    0.499000    0.550000    0.440000    0.526000
     592    0.483000    0.530000    0.486000    0.532000
     593    0.436000    0.553000    0.513000    0.523000
     594    0.488000    0.518000    0.512000    0.505000
     595    0.514000    0.489000    0.476000    0.507000
     596    0.484000    0.529000    0.512000    0.453000
     597    0.407000    0.487000    0.541000    0.518000
     598    0.462000    0.463000    0.549000    0.543000
     599    0.489000    0.486000    0.524000    0.510000
     600    0.536000    0.550000    0.433000    0.537000
     601    0.521000    0.527000    0.487000    0.490000
     602    0.399000    0.582000    0.515000    0.517000
     603    0.496000    0.478000    0.494000    0.481000
     604    0.502000    0.529000    0.428000    0.551000
     605    0.472000    0.476000    0.503000    0.520000
     606    0.475000    0.508000    0.480000    0.525000
