   locus        mean         std
      96    0.908836    0.032319
      97    0.736412    0.057480
      98    0.729855    0.057585
      99    0.305335    0.059929
     100    0.681712    0.061450
     101    0.383567    0.063109
     102    0.687223    0.060795
     103    0.485932    0.069860
     104    0.633780    0.063634
     105    0.713429    0.060052
     106    0.571538    0.066082
     107    0.900842    0.033411
     108    0.827412    0.047749
     109    0.715242    0.060753
     110    0.730613    0.056855
     111    0.360715    0.064009
     112    0.787180    0.052166
     113    0.912884    0.031069
     114    0.923892    0.028323
     115    0.682236    0.062497
     116    0.577452    0.067614
     117    0.336587    0.063332
     118    0.564180    0.065324
     119    0.583232    0.065125
     120    0.543409    0.066234
     121    0.243423    0.054160
     122    0.771591    0.052869
     123    0.870029    0.042988
     124    0.788954    0.053508
     125    0.555463    0.065932
     126    0.675022    0.061383
     127    0.442257    0.066154
     128    0.967523    0.017558
     129    0.661629    0.063092
     130    0.838760    0.046563
     131    0.790398    0.051646
     132    0.886368    0.038681
     133    0.867102    0.042412
     134    0.722936    0.058422
     135    0.567209    0.067105
     136    0.925196    0.028324
     137    0.678801    0.061854
     138    0.828100    0.044435
     139    0.853705    0.043442
     140    0.719136    0.059328
     141    0.709523    0.061590
     142    0.904663    0.035450
     143    0.576883    0.065462
     144    0.391389    0.064704
     145    0.912334    0.034465
     146    0.592675    0.065877
     147    0.872045    0.040259
     148    0.715815    0.059107
     149    0.656373    0.063530
     150    0.747455    0.056681
     151    0.760997    0.056161
     152    0.823035    0.048777
     153    0.852187    0.043253
     154    0.846433    0.043603
     155    0.725358    0.058372
     156    0.522069    0.063347
     157    0.707210    0.060269
     158    0.808183    0.050487
     159    0.520373    0.067021
     160    0.235132    0.053728
     161    0.497610    0.068091
     162    0.806969    0.049751
     163    0.697228    0.061564
     164    0.275717    0.057305
     165    0.628578    0.067336
     166    0.568290    0.066992
     167    0.496400    0.066671
     168    0.921304    0.030827
     169    0.743154    0.057932
     170    0.964295    0.019208
     171    0.471708    0.073929
     172    0.668522    0.063272
     173    0.393592    0.065215
     174    0.913942    0.030305
     175    0.653132    0.064540
     176    0.798199    0.051736
     177    0.741975    0.055617
     178    0.533594    0.067570
     179    0.281093    0.056858
     180    0.682629    0.059208
     181    0.790833    0.054605
     182    0.427489    0.065158
     183    0.908712    0.031285
     184    0.584411    0.062455
     185    0.682260    0.062177
     186    0.873342    0.041179
     187    0.426887    0.066426
     188    0.671989    0.065422
     189    0.737868    0.058177
     190    0.822174    0.047356
     191    0.935441    0.027354
     192    0.760074    0.057191
     193    0.370034    0.063407
     194    0.878059    0.038495
     195    0.845685    0.044944
     196    0.608729    0.065747
     197    0.967633    0.017357
     198    0.830011    0.048717
     199    0.740105    0.058633
     200    0.772608    0.054778
     201    0.877514    0.038794
     202    0.414145    0.065609
     203    0.692971    0.059392
     204    0.506013    0.070704
     205    0.409255    0.065323
     206    0.515855    0.067633
     207    0.271175    0.057805
     208    0.573176    0.068516
     209    0.494186    0.064856
     210    0.914475    0.030959
     211    0.624538    0.063935
     212    0.906292    0.032198
     213    0.871385    0.040054
     214    0.698791    0.061722
     215    0.953669    0.022966
     216    0.962756    0.019813
     217    0.425184    0.064541
     218    0.459552    0.067498
     219    0.788405    0.050924
     220    0.237418    0.052190
     221    0.124209    0.037770
     222    0.909311    0.032593
     223    0.698532    0.062086
     224    0.860734    0.040434
     225    0.690436    0.060708
     226    0.445448    0.064878
     227    0.430179    0.068411
     228    0.417788    0.066929
     229    0.757593    0.053051
     230    0.951737    0.023040
     231    0.909716    0.032079
     232    0.863306    0.042765
     233    0.896824    0.033560
     234    0.822267    0.045671
     235    0.535622    0.068007
     236    0.566879    0.068636
     237    0.733402    0.060867
     238    0.919222    0.029638
     239    0.686481    0.061517
     240    0.391226    0.065021
     241    0.686864    0.062374
     242    0.670276    0.059733
     243    0.877347    0.037958
     244    0.445810    0.066303
     245    0.703459    0.058207
     246    0.502243    0.067448
     247    0.588486    0.067308
     248    0.924422    0.029429
     249    0.577143    0.066493
     250    0.907340    0.032910
     251    0.519308    0.068676
     252    0.575346    0.067469
     253    0.801181    0.049760
     254    0.738066    0.058249
     255    0.326268    0.062816
     256    0.836581    0.046340
     257    0.576919    0.071036
     258    0.843710    0.044637
     259    0.848106    0.044274
     260    0.212740    0.049962
     261    0.341291    0.065860
     262    0.866109    0.040123
     263    0.688952    0.062144
     264    0.820537    0.047747
     265    0.773949    0.053870
     266    0.758961    0.054997
     267    0.714077    0.060920
     268    0.425413    0.065803
     269    0.732188    0.057642
     270    0.886807    0.038839
     271    0.874463    0.039508
     272    0.847099    0.044488
     273    0.849278    0.045115
     274    0.433812    0.064575
     275    0.710874    0.060983
     276    0.769722    0.054104
     277    0.852437    0.044333
     278    0.357029    0.063323
     279    0.678253    0.060749
     280    0.447215    0.066957
     281    0.710314    0.062441
     282    0.729489    0.058116
     283    0.521372    0.065262
     284    0.539675    0.068676
     285    0.619395    0.065121
     286    0.337577    0.060832
     287    0.914898    0.032098
     288    0.923718    0.028673
     289    0.618132    0.064028
     290    0.697715    0.058097
     291    0.835378    0.045634
     292    0.910913    0.032688
     293    0.697150    0.061242
     294    0.418402    0.065268
     295    0.192262    0.049239
     296    0.825674    0.047375
     297    0.656739    0.062321
     298    0.448101    0.065667
     299    0.528002    0.066622
     300    0.871409    0.040212
     301    0.483325    0.066346
     302    0.501431    0.066542
     303    0.587398    0.066252
     304    0.264925    0.057725
     305    0.954473    0.022837
     306    0.815387    0.048492
     307    0.586678    0.066590
     308    0.718661    0.060117
     309    0.776267    0.056599
     310    0.477293    0.065253
     311    0.631703    0.062777
     312    0.261142    0.055886
     313    0.670515    0.064303
     314    0.579998    0.066999
     315    0.409455    0.067156
     316    0.578465    0.066297
     317    0.796409    0.053119
     318    0.884632    0.036160
     319    0.645006    0.065732
     320    0.063218    0.028923
     321    0.920585    0.029165
     322    0.333645    0.063177
     323    0.783365    0.052718
     324    0.937198    0.026139
     325    0.812659    0.047686
     326    0.287907    0.056899
     327    0.952052    0.022770
     328    0.637975    0.064459
     329    0.856271    0.042385
     330    0.926107    0.027458
     331    0.883506    0.037300
     332    0.850894    0.044802
     333    0.881992    0.037270
     334    0.891068    0.036543
     335    0.529672    0.065460
     336    0.899564    0.034619
     337    0.567285    0.064646
     338    0.858443    0.042975
     339    0.553134    0.067694
     340    0.656745    0.061784
     341    0.771659    0.053355
     342    0.479327    0.066625
     343    0.946118    0.024976
     344    0.757442    0.055925
     345    0.697246    0.060509
     346    0.612501    0.063732
     347    0.966575    0.018067
     348    0.631067    0.066127
     349    0.339083    0.067377
     350    0.924589    0.029445
     351    0.361617    0.064710
     352    0.879755    0.038602
     353    0.330572    0.062222
     354    0.250693    0.054582
     355    0.380043    0.063228
     356    0.642151    0.063174
     357    0.588314    0.067802
     358    0.804691    0.052141
     359    0.908518    0.033072
     360    0.556125    0.067080
     361    0.832641    0.044711
     362    0.419354    0.067119
     363    0.649821    0.061397
     364    0.649305    0.062160
     365    0.684554    0.061159
     366    0.763109    0.054631
     367    0.523763    0.067914
     368    0.217156    0.049909
     369    0.798557    0.051796
     370    0.295203    0.056164
     371    0.818773    0.046985
     372    0.862954    0.042176
     373    0.812273    0.048051
     374    0.602766    0.065666
     375    0.559167    0.068812
     376    0.464947    0.067686
     377    0.780517    0.059596
     378    0.755291    0.056242
     379    0.210006    0.051044
     380    0.881996    0.037710
     381    0.663183    0.065049
     382    0.822644    0.049241
     383    0.737554    0.057541
     384    0.504590    0.070324
     385    0.919602    0.029688
     386    0.604086    0.061723
     387    0.683507    0.061197
     388    0.756171    0.058294
     389    0.900910    0.034555
     390    0.933122    0.026745
     391    0.596693    0.068672
     392    0.258831    0.055246
     393    0.752926    0.053625
     394    0.656035    0.062492
     395    0.692643    0.060257
     396    0.819399    0.047325
     397    0.532679    0.066693
     398    0.763147    0.053939
     399    0.676692    0.064318
     400    0.422310    0.064737
     401    0.906276    0.035841
     402    0.729614    0.057216
     403    0.597121    0.065350
     404    0.536421    0.066111
     405    0.918680    0.028495
     406    0.910752    0.031152
     407    0.874921    0.040697
     408    0.850210    0.042701
     409    0.634652    0.064037
     410    0.685515    0.064038
     411    0.731500    0.058393
     412    0.897825    0.035437
     413    0.854600    0.042772
     414    0.499482    0.067830
     415    0.756826    0.057297
     416    0.623053    0.064065
     417    0.659334    0.063441
     418    0.621777    0.066788
     419    0.755249    0.056308
     420    0.927122    0.029106
     421    0.513134    0.065065
     422    0.904377    0.034328
     423    0.829403    0.048019
     424    0.687254    0.059933
     425    0.760576    0.054507
     426    0.786685    0.051470
     427    0.901410    0.034781
     428    0.536146    0.066246
     429    0.721812    0.061122
     430    0.758386    0.054149
     431    0.650576    0.066002
     432    0.191127    0.048102
     433    0.460120    0.068405
     434    0.552459    0.066495
     435    0.618889    0.065064
     436    0.813625    0.050082
     437    0.616773    0.066963
     438    0.335955    0.063838
     439    0.908242    0.032862
     440    0.854694    0.045758
     441    0.641666    0.063092
     442    0.922261    0.029137
     443    0.807157    0.048601
     444    0.952205    0.023299
     445    0.770983    0.054800
     446    0.602445    0.066244
     447    0.105222    0.036273
     448    0.684339    0.061156
     449    0.658630    0.064480
     450    0.811347    0.048759
     451    0.625800    0.063027
     452    0.875190    0.040617
     453    0.419425    0.065300
     454    0.526173    0.066550
     455    0.971144    0.016529
     456    0.871820    0.039985
     457    0.884436    0.038339
     458    0.407299    0.063049
     459    0.794545    0.050273
     460    0.381103    0.065413
     461    0.710277    0.060742
     462    0.768245    0.055710
     463    0.805444    0.050294
     464    0.671584    0.061608
     465    0.723549    0.058816
     466    0.869733    0.041561
     467    0.905440    0.033568
     468    0.383937    0.062766
     469    0.890128    0.037158
     470    0.824691    0.047253
     471    0.938933    0.026234
     472    0.844824    0.045031
     473    0.395732    0.063939
     474    0.773872    0.056041
     475    0.362748    0.061602
     476    0.616020    0.064811
     477    0.927085    0.027190
     478    0.764568    0.054380
     479    0.297632    0.059177
     480    0.569640    0.066805
     481    0.722823    0.060052
     482    0.746018    0.054701
     483    0.900224    0.034606
     484    0.631616    0.064479
     485    0.696497    0.064999
     486    0.557209    0.065990
     487    0.852574    0.043333
     488    0.767373    0.054806
     489    0.902420    0.033894
     490    0.767993    0.053693
     491    0.654731    0.062857
     492    0.621117    0.066668
     493    0.410749    0.063847
     494    0.843879    0.047025
     495    0.679780    0.061539
     496    0.901167    0.033563
     497    0.807301    0.049514
     498    0.225472    0.051485
     499    0.693512    0.060407
     500    0.716449    0.057296
     501    0.941167    0.025410
     502    0.286360    0.057202
     503    0.820249    0.046869
     504    0.935434    0.027239
     505    0.930608    0.027328
     506    0.637325    0.065494
     507    0.782743    0.054549
     508    0.570135    0.067337
     509    0.130184    0.038603
     510    0.581070    0.065863
     511    0.749106    0.056975
     512    0.388159    0.064157
     513    0.570033    0.069895
     514    0.697750    0.059429
     515    0.363478    0.065584
     516    0.872031    0.041116
     517    0.778230    0.055535
     518    0.847121    0.043569
     519    0.637124    0.063855
     520    0.748685    0.057820
     521    0.424565    0.068227
     522    0.218872    0.052929
     523    0.903267    0.034661
     524    0.703790    0.060856
     525    0.902112    0.034580
     526    0.877339    0.039887
     527    0.338575    0.060759
     528    0.916882    0.032172
     529    0.094225    0.031531
     530    0.595510    0.066014
     531    0.130491    0.039861
     532    0.668527    0.062500
     533    0.715275    0.060087
     534    0.900632    0.034334
     535    0.823283    0.047193
     536    0.746622    0.057946
     537    0.702197    0.064517
     538    0.651471    0.063533
     539    0.929727    0.031370
     540    0.246783    0.053751
     541    0.823029    0.048338
     542    0.708705    0.059724
     543    0.483182    0.067358
     544    0.189095    0.048255
     545    0.861155    0.041373
     546    0.881249    0.039685
     547    0.631818    0.061902
     548    0.608699    0.066730
     549    0.714776    0.059275
     550    0.634008    0.064885
     551    0.795152    0.053277
     552    0.701694    0.059973
     553    0.912029    0.030227
     554    0.509640    0.067120
     555    0.787251    0.050136
     556    0.467209    0.064830
     557    0.909717    0.035622
     558    0.949817    0.024613
     559    0.663184    0.061666
     560    0.871225    0.040635
     561    0.745909    0.058048
     562    0.580101    0.065315
     563    0.767001    0.054928
     564    0.405797    0.064531
     565    0.457661    0.064177
     566    0.772783    0.054211
     567    0.779429    0.052367
     568    0.199708    0.048014
     569    0.386779    0.066854
     570    0.796921    0.051545
     571    0.625160    0.063972
     572    0.918074    0.029415
     573    0.771477    0.054392
     574    0.157749    0.043625
     575    0.088090    0.029520
     576    0.880911    0.039215
     577    0.538230    0.066764
     578    0.799994    0.053243
     579    0.901451    0.034968
     580    0.804065    0.048928
     581    0.880448    0.039685
     582    0.478884    0.065476
     583    0.300066    0.058811
     584    0.805640    0.048784
     585    0.916982    0.032707
     586    0.947975    0.025198
     587    0.873885    0.041266
     588    0.611474    0.064899
     589    0.378791    0.063032
     590    0.887170    0.036879
     591    0.554861    0.066203
     592    0.333966    0.064321
     593    0.475768    0.067217
     594    0.846341    0.043492
     595    0.918844    0.029741
     596    0.828107    0.048359
     597    0.449773    0.066363
     598    0.345486    0.061090
     599    0.366189    0.062904
     600    0.616873    0.063536
     601    0.517073    0.063280
     602    0.436204    0.066009
     603    0.466488    0.063548
     604    0.575079    0.068324
     605    0.933435    0.028053
     606    0.949238    0.024101
     607    0.841393    0.044947
     608    0.386282    0.065394
     609    0.519659    0.065288
     610    0.459562    0.066255
     611    0.931081    0.027669
     612    0.691999    0.063802
     613    0.199568    0.050003
     614    0.887340    0.037203
     615    0.418637    0.063893
     616    0.458520    0.065176
     617    0.812634    0.049087
     618    0.685939    0.062482
     619    0.468916    0.066413
     620    0.640646    0.062719
     621    0.740290    0.056196
     622    0.670421    0.061456
     623    0.887453    0.036619
     624    0.296865    0.060529
     625    0.970095    0.016843
     626    0.414231    0.065240
     627    0.543527    0.065302
     628    0.357502    0.064239
     629    0.799183    0.050787
     630    0.915275    0.028619
     631    0.542419    0.065583
     632    0.839852    0.046770
     633    0.945408    0.024584
     634    0.442013    0.064208
     635    0.967845    0.016667
     636    0.668548    0.062685
     637    0.836836    0.046383
     638    0.418554    0.066450
     639    0.784756    0.055107
     640    0.486706    0.067702
     641    0.706121    0.060852
     642    0.283189    0.056782
     643    0.823483    0.050621
     644    0.866567    0.041792
     645    0.502443    0.067524
     646    0.346135    0.063835
     647    0.658716    0.064952
     648    0.646832    0.065535
     649    0.812359    0.049931
     650    0.911759    0.032631
     651    0.828400    0.050611
     652    0.942640    0.025092
     653    0.964090    0.018673
     654    0.742135    0.055483
     655    0.622594    0.064194
     656    0.913814    0.032596
     657    0.652318    0.063041
     658    0.632648    0.063500
     659    0.625637    0.063388
     660    0.804326    0.051004
     661    0.478490    0.068115
     662    0.854726    0.042012
     663    0.913860    0.030444
     664    0.634060    0.063309
     665    0.540125    0.068530
     666    0.232664    0.052382
     667    0.806683    0.048922
     668    0.382253    0.063038
     669    0.623755    0.064073
     670    0.615223    0.063712
     671    0.606783    0.067342
     672    0.409851    0.063861
     673    0.615585    0.063857
     674    0.446894    0.067808
     675    0.880038    0.036333
     676    0.954705    0.020537
     677    0.506748    0.066529
     678    0.944709    0.023302
     679    0.269377    0.057434
     680    0.790758    0.052012
     681    0.958405    0.019667
     682    0.651143    0.061175
     683    0.829963    0.047618
     684    0.899552    0.037192
     685    0.261217    0.055470
     686    0.501394    0.068475
     687    0.830690    0.046069
     688    0.907094    0.031906
     689    0.334474    0.063533
     690    0.382885    0.065637
     691    0.857676    0.042460
     692    0.503365    0.067887
     693    0.938233    0.026230
     694    0.811041    0.052629
     695    0.924476    0.027781
     696    0.958283    0.020572
     697    0.732039    0.058377
     698    0.707033    0.057965
     699    0.578343    0.062586
     700    0.932472    0.028504
     701    0.917076    0.029854
     702    0.838892    0.045949
     703    0.640110    0.065066
     704    0.654453    0.064405
     705    0.357602    0.060113
     706    0.752619    0.057135
     707    0.694122    0.061535
     708    0.919437    0.029815
     709    0.389748    0.062992
     710    0.620673    0.062030
     711    0.554707    0.066301
     712    0.636974    0.066207
     713    0.248983    0.053647
     714    0.923276    0.028285
     715    0.922460    0.029223
     716    0.935489    0.027685
     717    0.784647    0.052632
     718    0.891925    0.034419
     719    0.830725    0.046642
     720    0.513980    0.067073
     721    0.777686    0.052390
     722    0.330374    0.062829
     723    0.845097    0.046030
     724    0.600037    0.064395
     725    0.858078    0.043363
     726    0.763902    0.052660
     727    0.938005    0.025473
     728    0.859885    0.042251
     729    0.877222    0.038694
     730    0.798236    0.050326
     731    0.654167    0.062380
     732    0.289585    0.058537
     733    0.517661    0.066264
     734    0.882912    0.037400
     735    0.389402    0.064604
     736    0.485244    0.068331
     737    0.686603    0.063109
     738    0.264172    0.056356
     739    0.663731    0.062540
     740    0.563507    0.063761
     741    0.924004    0.028328
     742    0.543246    0.068650
     743    0.921575    0.029006
     744    0.594798    0.065080
     745    0.854166    0.043554
     746    0.903103    0.035040
     747    0.927013    0.028069
     748    0.498486    0.066794
     749    0.586009    0.065779
     750    0.134051    0.040395
     751    0.921412    0.029226
     752    0.843825    0.044942
     753    0.776435    0.053986
     754    0.812077    0.051190
     755    0.601767    0.066370
     756    0.520066    0.069164
     757    0.885136    0.037390
     758    0.961234    0.019986
     759    0.772142    0.054738
     760    0.165341    0.045045
     761    0.966578    0.018966
     762    0.288639    0.057305
     763    0.743220    0.059202
     764    0.458010    0.065615
     765    0.788256    0.052537
     766    0.687377    0.060857
     767    0.781188    0.052110
     768    0.625771    0.063350
     769    0.879404    0.039274
     770    0.914322    0.030727
     771    0.679065    0.061830
     772    0.643272    0.062169
     773    0.487413    0.069961
     774    0.957761    0.020616
     775    0.457367    0.066886
     776    0.785727    0.053187
     777    0.577567    0.066601
     778    0.703684    0.060055
     779    0.820861    0.046505
     780    0.498368    0.065950
     781    0.682626    0.059763
     782    0.632010    0.065369
     783    0.740440    0.058734
     784    0.893115    0.038899
     785    0.930148    0.028803
     786    0.733907    0.059849
     787    0.842119    0.044375
     788    0.788790    0.051293
     789    0.545102    0.066429
     790    0.823432    0.048607
     791    0.882891    0.037390
     792    0.953557    0.022616
     793    0.816678    0.056785
     794    0.233671    0.053700
     795    0.913080    0.031622
     796    0.680368    0.060235
     797    0.723787    0.059535
     798    0.445999    0.068646
     799    0.802067    0.051291
     800    0.870600    0.039849
     801    0.660667    0.061942
     802    0.890763    0.035096
     803    0.710089    0.058509
     804    0.717758    0.059240
     805    0.394278    0.064268
     806    0.969436    0.015691
     807    0.934224    0.027613
     808    0.947748    0.024956
     809    0.705648    0.058567
     810    0.500692    0.066746
     811    0.907838    0.031557
     812    0.793580    0.052229
     813    0.718892    0.059288
     814    0.858109    0.043643
     815    0.919085    0.030027
     816    0.951357    0.023422
     817    0.922413    0.028900
     818    0.485464    0.066714
     819    0.758176    0.057570
     820    0.786627    0.053149
     821    0.346014    0.063569
     822    0.803562    0.049633
     823    0.854850    0.043418
     824    0.757583    0.055536
     825    0.622856    0.063240
     826    0.891612    0.035560
     827    0.717096    0.057691
     828    0.625329    0.065110
     829    0.923795    0.028779
     830    0.639411    0.065419
     831    0.678971    0.064709
     832    0.931568    0.028133
     833    0.521404    0.068269
     834    0.951771    0.022572
     835    0.815748    0.046381
     836    0.969211    0.016506
     837    0.938237    0.027686
     838    0.477813    0.064808
     839    0.843444    0.043843
     840    0.868043    0.040548
     841    0.843195    0.042896
     842    0.711838    0.059791
     843    0.741406    0.057598
     844    0.397545    0.066503
     845    0.933073    0.027271
     846    0.944351    0.024788
     847    0.936102    0.028823
     848    0.896960    0.033715
     849    0.856342    0.044296
     850    0.558360    0.066221
     851    0.575418    0.065169
     852    0.673689    0.061908
     853    0.943891    0.026948
     854    0.760762    0.054812
     855    0.939866    0.025723
     856    0.629280    0.064333
     857    0.661101    0.065222
     858    0.187743    0.046999
     859    0.824498    0.046334
     860    0.615143    0.066731
     861    0.480722    0.067682
     862    0.934559    0.026987
     863    0.936393    0.027167
     864    0.115619    0.035433
     865    0.953788    0.022365
     866    0.473484    0.065612
     867    0.572728    0.067019
     868    0.724424    0.061037
     869    0.710106    0.061559
     870    0.772900    0.055138
     871    0.832751    0.044833
     872    0.253813    0.056804
     873    0.832013    0.047727
     874    0.915682    0.031756
     875    0.926108    0.029309
     876    0.959451    0.019883
     877    0.944026    0.024067
     878    0.961950    0.018865
     879    0.713444    0.057116
     880    0.187511    0.047408
     881    0.602233    0.062844
     882    0.665494    0.062397
     883    0.389134    0.066516
     884    0.652094    0.064946
     885    0.473221    0.067668
     886    0.200321    0.048585
     887    0.794488    0.051393
     888    0.429328    0.064472
     889    0.544980    0.065824
     890    0.851056    0.046063
     891    0.898875    0.036105
     892    0.511887    0.067729
     893    0.929592    0.029106
     894    0.854479    0.044243
     895    0.907925    0.035105
     896    0.631264    0.066122
     897    0.929013    0.029324
     898    0.777671    0.054802
     899    0.255105    0.057890
     900    0.455340    0.066856
     901    0.413566    0.065344
     902    0.572016    0.065672
     903    0.963545    0.019975
     904    0.922036    0.030507
     905    0.370025    0.063860
     906    0.929984    0.027357
     907    0.728647    0.057272
     908    0.657595    0.061406
     909    0.418581    0.067129
     910    0.926705    0.028486
     911    0.801538    0.052880
     912    0.884078    0.039653
     913    0.438282    0.064995
     914    0.661679    0.062394
     915    0.488489    0.064629
     916    0.716519    0.057942
     917    0.758120    0.055305
     918    0.634409    0.063507
     919    0.477255    0.066419
     920    0.734384    0.056785
     921    0.889234    0.038048
     922    0.748111    0.058730
     923    0.500417    0.066982
     924    0.613515    0.064983
     925    0.381001    0.063436
     926    0.385635    0.065747
     927    0.305416    0.059330
     928    0.637454    0.063937
     929    0.520250    0.066175
     930    0.752733    0.057185
     931    0.585588    0.066367
     932    0.904787    0.033644
     933    0.748592    0.055815
     934    0.581072    0.065267
     935    0.824351    0.047613
     936    0.649808    0.061706
     937    0.464320    0.068276
     938    0.567490    0.066584
     939    0.314648    0.061304
     940    0.951773    0.022358
     941    0.615127    0.064464
     942    0.547291    0.066001
     943    0.511446    0.067921
     944    0.868990    0.041053
     945    0.223589    0.049378
     946    0.503412    0.067928
     947    0.679896    0.061763
     948    0.510925    0.067330
     949    0.582773    0.067270
     950    0.714537    0.058476
     951    0.637924    0.065495
     952    0.480960    0.066543
     953    0.972530    0.015732
     954    0.957634    0.019367
     955    0.510578    0.066288
     956    0.611360    0.064779
     957    0.772133    0.052584
     958    0.408090    0.065926
     959    0.588620    0.067463
     960    0.445000    0.064985
     961    0.859124    0.042015
     962    0.915754    0.031438
     963    0.437579    0.067787
     964    0.840723    0.046310
     965    0.882290    0.041169
     966    0.529455    0.068234
     967    0.661198    0.064883
     968    0.848105    0.047098
     969    0.285169    0.057996
     970    0.921808    0.029054
     971    0.435446    0.069160
     972    0.112155    0.036374
     973    0.798642    0.050453
     974    0.150087    0.045157
     975    0.912431    0.032784
     976    0.294833    0.059282
     977    0.480806    0.066122
     978    0.758280    0.057663
     979    0.915246    0.028936
     980    0.858319    0.043765
     981    0.472267    0.067630
     982    0.912368    0.029711
     983    0.847471    0.049057
     984    0.416112    0.066607
     985    0.955212    0.022232
     986    0.553929    0.067027
     987    0.710166    0.061033
     988    0.920857    0.032997
     989    0.715110    0.060394
     990    0.473788    0.066365
     991    0.493421    0.067934
     992    0.276891    0.058600
     993    0.683776    0.063872
     994    0.926493    0.027326
     995    0.690746    0.061748
     996    0.521944    0.066538
     997    0.736081    0.058684
     998    0.198397    0.048861
     999    0.884035    0.037828
    1000    0.715945    0.059667
    1001    0.909275    0.032037
    1002    0.492007    0.067227
    1003    0.752808    0.056281
    1004    0.618521    0.064453
    1005    0.926694    0.028747
    1006    0.505174    0.067315
    1007    0.683452    0.059627
    1008    0.243149    0.054423
    1009    0.331264    0.062048
    1010    0.813806    0.049049
    1011    0.137510    0.041916
    1012    0.469547    0.066693
    1013    0.704475    0.060473
    1014    0.611676    0.064280
    1015    0.214816    0.052546
    1016    0.970582    0.017911
    1017    0.934046    0.028420
    1018    0.951718    0.023291
    1019    0.771170    0.055981
    1020    0.555254    0.067551
    1021    0.895801    0.035627
    1022    0.363925    0.064779
    1023    0.605488    0.065042
    1024    0.467772    0.068078
    1025    0.090113    0.031367
    1026    0.893057    0.036759
    1027    0.964862    0.018486
    1028    0.925125    0.030519
    1029    0.515024    0.072906
    1030    0.611848    0.063064
    1031    0.611350    0.068166
    1032    0.801112    0.049117
    1033    0.675925    0.062741
    1034    0.655217    0.062136
    1035    0.587835    0.065982
    1036    0.609352    0.067372
    1037    0.266696    0.055812
    1038    0.606445    0.065973
    1039    0.340380    0.064168
    1040    0.942034    0.024680
    1041    0.681424    0.062909
    1042    0.855133    0.043965
    1043    0.521897    0.068105
    1044    0.706497    0.057952
    1045    0.895854    0.035178
    1046    0.557855    0.068092
    1047    0.555816    0.066317
    1048    0.281104    0.058144
    1049    0.756163    0.054814
    1050    0.903996    0.032382
    1051    0.687836    0.061885
    1052    0.915464    0.030736
    1053    0.915117    0.030783
    1054    0.579641    0.066928
    1055    0.512862    0.068950
    1056    0.648186    0.061778
    1057    0.653908    0.064161
    1058    0.545752    0.065413
    1059    0.569416    0.065725
    1060    0.850562    0.046000
    1061    0.417605    0.065136
    1062    0.928786    0.028478
    1063    0.414165    0.065176
    1064    0.847241    0.044225
    1065    0.636466    0.063537
    1066    0.874636    0.038795
    1067    0.214945    0.050613
    1068    0.720443    0.055510
    1069    0.773773    0.054486
    1070    0.921144    0.029214
