   locus        mean         std         KLD
     121   26.997483   26.840143    0.011729
     122   26.899897   26.333543    0.012789
     123   25.179270   24.414880    0.025030
     124   26.676981   25.494612    0.016024
     125   29.031191   27.570786    0.006731
     126   26.592291   25.964201    0.014699
     127   27.060937   26.000954    0.013333
     128   30.254113   28.530801    0.005119
     129   26.977950   27.175638    0.011861
     130   34.571775   33.875982    0.004737
     131   28.651197   28.227800    0.004877
     132   27.505310   25.525540    0.015862
     133   27.842318   27.655524    0.007680
     134   27.654763   27.983496    0.008625
     135   28.055307   27.358928    0.007541
     136   27.366350   27.590442    0.009881
     137   26.902491   25.930679    0.013891
     138   24.159227   23.117960    0.035301
     139   24.170181   24.156645    0.032790
     140   28.769100   27.604476    0.006343
     141   26.580181   25.966905    0.014738
     142   23.728599   24.017070    0.037438
     143   27.255726   27.073493    0.010400
     144   28.968572   29.979033    0.005194
     145   31.510864   30.123517    0.002513
     146   26.194306   25.798892    0.016750
     147   23.797937   23.002052    0.037971
     148   23.238581   22.988918    0.042747
     149   26.673943   26.180530    0.013940
     150   29.031974   28.374883    0.004110
     151   23.404899   22.268474    0.043788
     152   21.901552   21.769381    0.059568
     153   26.245837   25.233920    0.018046
     154   26.709269   26.056707    0.014064
     155   25.556482   24.929020    0.021691
     156   26.118915   25.985228    0.016985
     157   28.318455   28.306198    0.005741
     158   23.872206   22.496468    0.040068
     159   27.075996   26.265976    0.012425
     160   32.251441   31.202724    0.001588
     161   29.208209   27.315453    0.008429
     162   24.329010   24.713213    0.031591
     163   24.225495   23.329253    0.034026
     164   26.799709   26.772533    0.012778
     165   27.184409   25.574590    0.015254
     166   27.143450   26.793220    0.011130
     167   23.522655   23.247123    0.039620
     168   27.128893   26.971134    0.011034
     169   25.791816   25.214492    0.019844
     170   27.964327   27.219300    0.008030
     171   28.054484   27.265457    0.007770
     172   24.446297   23.653324    0.031534
     173   27.640745   27.615079    0.008507
     174   32.371396   29.707391    0.009119
     175   28.958322   27.917653    0.005328
     176   41.407911   36.830597    0.056190
     177   27.366785   26.045208    0.012814
     178   28.055783   28.383385    0.006919
     179   29.553568   29.846031    0.002284
     180   28.186296   28.364508    0.006286
     181   25.890851   25.887502    0.018501
     182   27.216594   25.922584    0.013469
     183   25.313429   25.070289    0.022892
     184   25.264292   24.340747    0.024889
     185   28.698155   28.604356    0.004458
     186   26.034419   25.643064    0.017808
     187   27.927698   27.198280    0.008145
     188   25.508400   24.376483    0.023823
     189   32.687078   32.742254    0.000601
     190   25.912860   25.133752    0.019516
     191   28.719706   26.768776    0.010369
     192   26.374614   25.726454    0.016086
     193   22.502782   22.729459    0.051608
     194   28.199393   28.549601    0.006384
     195   30.932717   29.471495    0.003106
     196   27.954466   26.874277    0.009085
     197   28.889940   27.147625    0.008576
     198   27.440614   26.967608    0.009819
     199   25.656044   25.375661    0.020331
     200   33.896939   31.634928    0.008343
     201   27.599248   27.141111    0.009050
     202   26.227439   25.410554    0.017496
     203   27.698452   27.346514    0.008455
     204   23.366465   22.688153    0.042249
     205   26.352194   26.580249    0.015543
     206   33.650326   34.412679    0.002715
     207   28.441520   28.153317    0.005434
     208   25.587524   25.476592    0.020706
     209   36.418569   30.320895    0.047582
     210   26.364121   26.086509    0.015514
     211   28.901067   28.517006    0.004051
     212   28.934400   29.447856    0.004132
     213   28.224700   28.199338    0.006090
     214   28.515434   27.815096    0.005825
     215   29.497856   29.688432    0.002334
     216   27.560369   26.016202    0.012944
     217   28.926764   28.134152    0.004718
     218   27.846502   27.005375    0.008784
     219   28.317087   28.296234    0.005747
     220   32.365483   29.458824    0.010807
     221   25.410573   25.419590    0.022018
     222   28.478432   27.070497    0.008340
     223   28.039389   27.404963    0.007470
     224   23.215764   23.573863    0.043166
     225   27.346237   26.391149    0.011471
     226   28.641612   28.096048    0.005094
     227   29.116965   27.529066    0.007073
     228   26.853193   26.146627    0.013370
     229   29.111962   28.725567    0.003457
     230   26.598271   27.095439    0.014394
     231   28.712977   29.313449    0.004961
     232   35.037994   34.443585    0.005951
     233   27.250948   27.802155    0.010894
     234   29.216966   27.114485    0.009684
     235   29.002886   27.417980    0.007402
     236   30.417085   30.006567    0.000933
     237   29.626420   25.945432    0.022205
     238   30.855812   30.514313    0.000427
     239   21.151949   20.871278    0.070839
     240   19.737739   19.561891    0.095136
     241   26.604536   27.311467    0.014816
     242   27.781431   27.428530    0.008091
     243   26.845140   27.072320    0.012614
     244   27.999634   28.218941    0.007048
     245   27.709132   27.563061    0.008236
     246   29.126602   28.863979    0.003296
     247   25.807233   25.501259    0.019269
     248   26.138526   26.155564    0.016823
     249   27.927999   28.368665    0.007584
     250   32.191064   30.212916    0.005083
     251   29.103692   28.451695    0.003900
     252   41.864401   35.852158    0.070789
     253   30.328975   30.348644    0.000810
     254   27.894364   27.703223    0.007463
     255   28.565518   27.740700    0.005955
     256   27.086477   27.396634    0.011382
     257   25.298470   24.715053    0.023577
     258   29.171611   28.160643    0.004625
     259   25.262901   25.038246    0.023273
     260   23.379322   23.598686    0.041131
     261   27.099954   25.857885    0.013863
     262   27.254739   27.091828    0.010393
     263   22.545677   21.706142    0.052724
     264   27.070701   27.402174    0.011489
     265   31.485437   30.015326    0.002829
     266   28.421687   28.784415    0.005581
     267   26.206155   25.577372    0.017123
     268   25.663516   24.371622    0.023406
     269   40.093214   30.751866    0.103251
     270   25.494723   25.110449    0.021669
     271   25.780721   25.798100    0.019277
     272   30.148728   27.878462    0.008435
     273   27.566312   27.323679    0.008945
     274   27.351820   27.779225    0.010181
     275   25.501748   23.753751    0.027426
     276   26.524659   25.642478    0.015814
     277   28.509195   29.298836    0.006056
     278   26.707920   24.501212    0.022184
     279   27.180166   26.629458    0.011256
     280   25.235193   24.318239    0.025099
     281   27.258075   27.610275    0.010546
     282   25.144158   24.774932    0.024401
     283   24.609867   25.584041    0.030699
     284   27.255320   26.490341    0.011362
     285   27.971476   27.117858    0.008287
     286   28.335736   27.427130    0.007008
     287   26.110605   26.004752    0.017028
     288   25.696148   26.277495    0.020544
     289   25.733309   25.074748    0.020462
     290   28.345789   27.710192    0.006291
     291   29.991089   30.106169    0.001334
     292   28.928049   28.057874    0.004914
     293   28.718016   29.011913    0.004517
     294   27.483859   27.278851    0.009302
     295   29.889482   29.876145    0.001491
     296   26.864764   27.731033    0.013750
     297   27.439984   26.651727    0.010505
     298   27.123008   27.730274    0.011668
     299   32.849211   29.497953    0.014361
     300   30.832889   28.017594    0.011148
     301   25.768119   25.811632    0.019370
     302   26.574326   25.776282    0.015251
     303   23.510959   23.724068    0.039676
     304   27.677804   27.804338    0.008367
     305   26.543722   26.916658    0.014524
     306   25.710485   26.672277    0.021581
     307   28.400211   27.593558    0.006489
     308   29.735106   28.433861    0.004261
     309   29.578072   27.802219    0.006782
     310   26.328867   25.537968    0.016760
     311   29.550042   29.224183    0.002322
     312   23.930010   23.620941    0.035387
     313   25.357794   24.379822    0.024351
     314   36.105131   31.310363    0.032476
     315   37.233090   32.079747    0.039441
     316   25.025683   24.474379    0.025721
     317   25.546243   24.409864    0.023551
     318   23.316080   23.162252    0.041779
     319   26.919335   25.771400    0.014465
     320   30.625849   30.842348    0.000533
     321   29.166758   28.610063    0.003555
     322   29.191477   27.685171    0.006471
     323   29.266655   28.635055    0.003430
     324   25.642444   24.901256    0.021356
     325   31.068153   27.495641    0.017416
     326   29.649844   28.420767    0.004178
     327   28.648519   28.055970    0.005156
     328   25.067495   24.378337    0.025725
     329   28.678139   28.810568    0.004536
     330   27.106812   26.551920    0.011647
     331   26.499940   24.880832    0.019378
     332   28.294112   29.142651    0.006989
     333   27.035694   25.519076    0.015562
     334   28.610186   27.819822    0.005715
     335   26.929803   26.489208    0.012398
     336   28.268185   27.430274    0.007062
     337   27.615705   25.979505    0.013174
     338   22.516310   21.923326    0.052200
     339   32.257247   29.569127    0.009262
     340   28.184850   28.398934    0.006315
     341   26.671597   25.589901    0.015641
     342   29.830437   30.035502    0.001660
     343   29.057989   28.307113    0.004240
     344   31.356050   29.782261    0.003290
     345   26.289787   25.034175    0.018796
     346   27.394546   26.970258    0.009967
     347   21.797812   21.486140    0.061248
     348   25.462588   23.868748    0.026706
     349   25.739761   26.450953    0.020553
     350   28.937938   28.067707    0.004885
     351   23.317604   22.724815    0.042541
     352   29.117078   29.493143    0.003432
     353   26.654351   25.731117    0.015164
     354   26.608288   25.929263    0.014725
     355   28.574371   27.347076    0.007236
     356   27.599691   27.863877    0.008811
     357   27.599339   27.626597    0.008695
     358   23.542087   22.818020    0.040455
     359   30.475991   29.370009    0.002333
     360   27.487307   28.050211    0.009755
     361   28.683036   29.315653    0.005120
     362   25.868141   24.653550    0.021515
     363   28.968467   27.710039    0.006072
     364   26.360308   25.364763    0.017241
     365   27.220630   26.337093    0.011882
     366   24.869121   24.066513    0.027760
     367   30.914578   29.928848    0.001542
     368   23.569703   23.713912    0.038983
     369   24.362790   23.993912    0.031247
     370   28.310899   27.767760    0.006244
     371   26.075926   25.691318    0.017518
     372   26.819288   25.039236    0.018386
     373   24.433521   23.994486    0.030708
     374   25.674526   24.409139    0.023189
     375   27.754031   26.952360    0.009081
     376   20.546821   20.480501    0.080492
     377   24.332241   24.335722    0.031239
     378   28.444981   28.106943    0.005471
     379   28.473589   28.627433    0.005228
     380   23.195463   22.588782    0.043974
     381   30.870667   28.432528    0.008371
     382   27.154364   26.431837    0.011774
     383   23.202324   23.125219    0.043026
     384   23.476981   22.992226    0.040491
     385   24.523693   24.050802    0.029943
     386   23.823016   23.226627    0.037075
     387   25.784647   25.482199    0.019426
     388   29.873979   29.916794    0.001522
     389   29.651780   29.638562    0.001950
     390   29.229643   28.446143    0.003850
     391   26.310224   26.635212    0.015908
     392   26.302693   25.736597    0.016357
     393   21.071939   21.787683    0.073354
     394   26.421544   26.025307    0.015304
     395   29.316491   28.783005    0.003132
     396   24.401495   23.693865    0.031676
     397   28.226308   26.668277    0.010034
     398   26.289491   26.706935    0.016169
     399   27.629996   27.215920    0.008844
     400   26.096835   25.646254    0.017483
     401   26.127916   25.517981    0.017596
     402   28.433609   28.591462    0.005369
     403   28.497094   27.912991    0.005651
     404   28.198175   27.456645    0.007083
     405   27.887761   28.077010    0.007490
     406   26.888469   26.619851    0.012409
     407   27.683995   27.175011    0.008748
     408   26.851679   26.431727    0.012800
     409   24.163426   23.226385    0.034801
     410   24.485330   24.867950    0.030129
     411   29.217513   29.280247    0.002959
     412   27.607827   27.638741    0.008657
     413   28.363133   28.289524    0.005588
     414   27.748722   27.500915    0.008128
     415   21.938998   22.570404    0.060065
     416   25.759773   25.120459    0.020222
     417   28.729063   27.904403    0.005411
     418   25.293280   24.687543    0.023672
     419   25.328827   26.399473    0.024950
     420   21.918410   21.374515    0.060081
     421   24.037454   23.359049    0.035123
     422   27.712111   27.004972    0.009028
     423   27.515860   27.116288    0.009352
     424   26.017038   25.070669    0.019346
     425   28.522464   28.768263    0.005118
     426   26.717193   25.543213    0.015748
     427   26.917749   25.497414    0.015728
     428   30.323737   29.630232    0.001492
     429   24.339150   24.290330    0.031179
     430   27.172848   26.568467    0.011402
     431   21.851292   21.903690    0.060235
     432   27.175085   27.021337    0.010793
     433   25.446855   25.421695    0.021742
     434   26.850495   26.802020    0.012495
     435   28.234417   27.575745    0.006755
     436   23.107821   24.167809    0.046806
     437   26.604246   25.277799    0.017129
     438   28.182489   28.655872    0.006613
     439   22.136376   21.888672    0.056453
     440   35.459443   31.180628    0.026014
     441   25.710065   24.491011    0.022696
     442   25.867645   24.515668    0.022204
     443   32.715679   30.799770    0.005077
     444   26.004154   26.298847    0.017888
     445   34.731896   31.880859    0.013431
     446   30.352727   31.018655    0.001399
     447   27.206694   26.694327    0.011048
     448   25.857021   25.633299    0.018834
     449   41.775383   36.575882    0.063304
     450   25.988093   25.692693    0.017997
     451   24.119093   24.327802    0.033385
     452   26.470669   26.727250    0.014833
     453   27.001690   26.735887    0.011788
     454   31.602076   30.606304    0.001284
     455   26.963470   26.573932    0.012139
     456   27.640912   28.116451    0.008887
     457   31.259716   29.199444    0.005693
     458   23.765971   23.386581    0.037185
     459   26.545866   26.485491    0.014263
     460   26.626342   25.934439    0.014649
     461   26.322373   26.152913    0.015688
     462   28.020208   28.190730    0.006934
     463   23.306491   22.888263    0.042246
     464   32.778494   30.860990    0.005138
     465   32.087811   30.321829    0.004054
     466   27.272511   27.366458    0.010274
     467   27.322789   28.053852    0.010931
     468   27.705684   27.135341    0.008762
     469   25.030982   25.105393    0.025062
     470   25.484026   24.845387    0.022269
     471   29.286082   28.192905    0.004583
     472   26.108465   27.014248    0.018570
     473   27.035015   26.272851    0.012512
     474   27.292573   26.751036    0.010666
     475   26.976120   26.166846    0.012964
     476   26.253142   26.279874    0.016077
     477   28.930514   27.903895    0.005366
     478   27.430058   26.384395    0.011367
     479   28.271494   27.616979    0.006606
     480   32.366827   31.360406    0.001553
     481   30.383206   28.961470    0.003577
     482   22.758543   21.975046    0.049806
     483   29.654664   29.815777    0.001982
     484   30.982938   29.504532    0.003132
     485   28.892541   28.071678    0.004892
     486   26.460521   26.160563    0.014939
     487   21.341039   21.563783    0.067840
     488   28.688637   28.690345    0.004475
     489   23.265312   23.406577    0.042343
     490   24.316061   25.105612    0.032749
     491   26.481520   25.520848    0.016348
     492   25.595518   25.530594    0.020630
     493   27.557456   27.063089    0.009302
     494   25.843289   25.053544    0.020041
     495   28.768648   27.723274    0.005931
     496   26.586212   27.120856    0.014536
     497   25.844020   24.828751    0.020826
     498   28.125480   28.606187    0.006846
     499   29.268926   29.178572    0.002835
     500   29.959265   28.322351    0.005239
     501   25.601925   25.205591    0.020884
     502   28.385906   28.462742    0.005507
     503   29.423760   29.123299    0.002583
     504   28.628945   27.135202    0.008196
     505   28.551299   27.578597    0.006426
     506   27.414042   27.591305    0.009618
     507   26.118830   25.835888    0.017104
     508   28.456910   27.103920    0.008176
     509   28.879593   28.313932    0.004382
     510   27.271204   26.580417    0.011094
     511   26.610240   25.450878    0.016330
     512   23.555543   23.367999    0.039169
     513   26.984460   27.350938    0.011994
     514   27.455836   26.656255    0.010459
     515   25.699599   26.346098    0.020675
     516   21.759465   22.049507    0.061761
     517   27.353023   27.323284    0.009861
     518   27.945932   28.333171    0.007436
     519   28.334717   27.866396    0.006034
     520   22.285302   21.909362    0.054669
     521   28.620513   28.580414    0.004698
     522   26.388598   24.492257    0.021929
     523   27.365448   27.401485    0.009801
     524   27.574579   27.386046    0.008868
     525   25.436044   25.649435    0.021914
     526   28.389476   27.971674    0.005764
     527   26.720943   27.009309    0.013376
     528   27.164551   26.480884    0.011624
     529   27.083079   25.907271    0.013671
     530   27.085032   26.307718    0.012285
     531   30.249668   28.482614    0.005344
     532   27.266676   27.548003    0.010425
     533   28.076024   27.482544    0.007240
     534   27.872847   27.740819    0.007522
     535   29.252882   27.962191    0.005384
     536   27.633600   27.032672    0.009149
     537   28.952968   28.455996    0.004053
     538   30.654803   30.634361    0.000441
     539   21.817707   21.407368    0.061159
     540   28.693057   27.723050    0.005938
     541   28.264942   27.729036    0.006402
     542   27.260409   26.040097    0.012914
     543   26.368044   25.998786    0.015600
     544   26.032601   25.694395    0.017747
     545   25.577526   25.872183    0.020927
     546   25.392455   24.678720    0.023179
     547   22.379679   21.955279    0.053528
     548   28.170388   27.458935    0.007119
     549   28.826682   26.870573    0.010026
     550   28.111646   26.413636    0.011257
     551   28.869365   29.088289    0.003992
     552   30.009831   30.437497    0.001545
     553   28.017835   27.800824    0.006972
     554   27.480436   27.692918    0.009324
     555   27.619730   25.923034    0.013498
     556   27.382575   26.184835    0.012193
     557   28.783921   27.775095    0.005765
     558   24.891970   25.065744    0.026281
     559   25.578088   25.072794    0.021255
     560   21.800009   21.722969    0.060969
     561   31.001960   29.007133    0.005546
     562   30.721025   30.458511    0.000473
     563   30.217892   28.875487    0.003517
     564   28.865460   28.781432    0.003940
     565   25.575871   24.462797    0.023220
     566   24.587266   24.528235    0.028894
     567   27.937660   27.748321    0.007281
     568   27.829644   26.741634    0.009654
     569   23.662403   22.884848    0.039341
     570   26.618480   26.148726    0.014225
     571   28.952241   27.464520    0.007097
     572   27.299585   26.942409    0.010344
     573   26.630128   26.262226    0.014001
     574   27.754703   27.697079    0.008005
     575   28.907405   27.432637    0.007178
     576   27.946989   28.554879    0.007794
     577   27.356870   28.043737    0.010653
     578   27.080393   26.922203    0.011288
     579   25.282612   25.164622    0.023043
     580   28.808061   29.163849    0.004299
     581   21.538041   20.683480    0.066786
     582   27.484987   26.225472    0.011945
     583   26.635872   25.778334    0.015061
     584   26.300387   26.434044    0.015807
     585   29.878666   29.677712    0.001569
     586   21.863390   21.684996    0.060143
     587   35.307985   31.104276    0.024990
     588   26.271806   26.007664    0.016086
     589   28.571255   28.087220    0.005228
     590   20.848507   20.794329    0.075463
     591   21.064530   21.466176    0.072455
     592   30.220976   30.472229    0.001047
     593   28.382352   27.385913    0.007105
     594   27.791003   26.736412    0.009705
     595   26.589983   25.757359    0.015260
     596   29.568693   29.114627    0.002429
     597   29.613847   29.878770    0.002132
     598   28.690764   28.565135    0.004492
     599   29.395653   29.547668    0.002550
     600   29.172536   30.141738    0.004490
     601   26.655473   25.657615    0.015419
     602   26.243870   26.300292    0.016142
     603   26.929314   26.863417    0.012063
     604   28.522554   27.502449    0.006677
     605   21.331858   21.260294    0.067854
     606   21.803965   22.079499    0.061103
     607   30.534975   29.178815    0.003117
     608   25.997126   24.698641    0.021002
     609   27.788687   26.548008    0.010433
     610   28.212927   24.665421    0.026830
     611   28.959483   30.559159    0.007573
     612   27.388486   26.652928    0.010619
     613   26.425600   25.441010    0.016785
     614   28.611364   26.951365    0.009092
     615   30.417889   27.273542    0.014641
     616   27.677524   25.626451    0.015479
     617   28.366289   27.295364    0.007412
     618   26.386521   25.275975    0.017525
     619   26.440145   26.262239    0.014957
     620   27.426994   27.171903    0.009612
     621   32.616493   33.707145    0.001963
     622   28.669890   29.081631    0.004801
     623   28.604734   27.434156    0.006915
     624   26.732092   24.852191    0.019587
     625   28.199140   26.588308    0.010418
     626   33.316906   32.942756    0.001616
     627   31.695063   26.801016    0.031353
     628   30.786494   30.608581    0.000366
     629   30.345836   28.330966    0.006513
     630   27.370662   26.251805    0.011936
     631   27.038017   26.539625    0.011907
     632   25.490291   24.991673    0.021904
     633   25.805278   24.760425    0.021224
     634   25.621896   25.243928    0.020708
     635   33.297198   33.616220    0.001540
     636   27.872467   27.108957    0.008464
     637   27.279779   27.066107    0.010301
     638   29.393780   29.256306    0.002547
     639   27.950646   27.582693    0.007392
     640   27.160416   26.213490    0.012400
     641   27.651617   28.215200    0.008992
     642   29.182447   29.131009    0.003048
     643   21.634823   20.176217    0.069232
     644   25.906454   26.331233    0.018739
     645   30.328710   28.006437    0.008433
     646   26.874343   26.826004    0.012363
     647   29.549690   28.155963    0.005048
     648   27.073273   26.765875    0.011448
     649   31.710722   28.736440    0.011473
     650   32.142339   29.904165    0.006454
     651   29.442937   28.511452    0.003699
     652   27.611937   26.929388    0.009426
     653   36.181630   31.476356    0.031824
     654   28.826960   28.596371    0.004127
     655   55.951914   38.488502    0.331985
     656   29.957934   30.335969    0.001577
     657   27.594080   28.309893    0.009585
     658   27.290844   27.773357    0.010570
     659   28.491700   27.930487    0.005628
     660   27.641002   27.748195    0.008524
     661   26.892476   25.604643    0.015229
     662   25.540500   25.711630    0.021090
     663   30.821550   31.182899    0.000473
     664   37.864922   33.025031    0.038889
     665   28.087396   26.538289    0.010562
     666   28.202374   27.598255    0.006766
     667   36.126580   32.913111    0.019756
     668   41.822586   35.646520    0.072035
     669   28.052478   27.285975    0.007721
     670   33.983716   29.182718    0.028937
     671   28.250069   26.861896    0.009122
     672   22.139408   22.052981    0.056270
     673   21.314912   21.575280    0.068290
     674   26.816436   26.855734    0.012685
     675   28.587642   27.853657    0.005655
     676   28.834282   29.453269    0.004616
     677   26.715528   26.110776    0.013919
     678   30.057930   30.980562    0.002418
     679   29.948267   28.095441    0.006355
     680   25.541289   25.137759    0.021348
     681   23.624834   23.244117    0.038679
     682   25.524246   24.974700    0.021752
     683   39.479147   33.492521    0.057078
     684   32.142831   29.077196    0.012012
     685   22.018310   21.674759    0.058215
     686   46.195687   33.864138    0.178115
     687   26.275118   25.874900    0.016234
     688   26.166997   25.910519    0.016759
     689   28.582482   28.073199    0.005230
     690   24.943888   23.409572    0.030688
     691   28.638259   28.113685    0.005070
     692   31.694764   30.979920    0.000663
     693   27.941683   25.895289    0.014177
     694   27.451935   27.887885    0.009707
     695   28.794909   29.206658    0.004406
     696   26.393895   25.767474    0.015913
     697   26.579359   26.636004    0.014062
     698   26.350646   25.322278    0.017427
     699   28.614142   27.702516    0.006028
     700   24.809566   24.283898    0.027504
     701   26.649951   25.998988    0.014409
     702   27.345156   26.222208    0.012081
     703   26.364165   26.239517    0.015400
     704   27.198840   26.048007    0.012948
     705   30.352107   28.038767    0.008332
     706   29.811933   29.312842    0.001995
     707   25.195579   25.194815    0.023708
     708   27.805078   27.665995    0.007813
     709   25.852321   25.411224    0.019146
     710   29.240635   28.295932    0.004244
     711   28.381585   27.560897    0.006594
     712   25.180434   24.666748    0.024367
     713   21.262097   20.564844    0.070296
     714   24.954081   24.890761    0.025701
     715   23.175387   22.462463    0.044544
     716   28.108363   27.561735    0.007024
     717   27.174366   26.234214    0.012304
     718   23.023358   22.395197    0.046051
     719   27.541015   26.018107    0.012928
     720   26.158009   25.468281    0.017592
     721   26.846314   27.104521    0.012634
     722   30.687837   29.125693    0.003768
     723   27.576317   27.240264    0.008991
     724   27.158219   27.470662    0.011010
     725   25.335236   25.299636    0.022605
     726   24.162512   23.545007    0.033708
     727   22.623488   22.996049    0.050298
     728   27.256215   27.253292    0.010340
     729   26.602438   25.120494    0.017943
     730   25.910431   25.601785    0.018548
     731   28.902960   27.996338    0.005090
     732   27.483695   27.962782    0.009623
     733   28.392439   27.804061    0.006029
     734   19.944434   19.685586    0.091378
     735   25.188487   24.869872    0.023971
     736   27.259499   26.738090    0.010796
     737   24.750728   24.346477    0.027780
     738   24.958836   24.274003    0.026625
     739   26.972365   25.849096    0.014066
     740   28.695351   27.966826    0.005286
     741   27.295305   26.665682    0.010832
     742   23.737874   26.421563    0.053489
     743   27.073212   26.788540    0.011425
     744   26.828901   27.185772    0.012840
     745   26.791702   26.047703    0.013818
     746   27.110764   26.109683    0.012849
     747   24.420581   23.972768    0.030845
     748   26.579501   26.469190    0.014077
     749   29.021679   28.672525    0.003664
     750   27.605036   27.440826    0.008713
     751   22.187792   21.842573    0.055912
     752   25.960195   25.873953    0.018036
     753   25.324008   25.686223    0.022954
     754   26.611323   26.178183    0.014207
     755   31.493736   31.545506    0.000008
     756   28.543462   27.589771    0.006395
     757   26.613025   26.712122    0.013874
     758   28.706736   27.482864    0.006770
     759   27.105041   25.879147    0.013764
     760   29.838575   28.912688    0.002829
     761   26.935781   26.960160    0.012021
     762   26.412457   25.636800    0.016185
     763   29.023759   29.073106    0.003476
     764   28.996627   28.292285    0.004310
     765   26.295955   26.285003    0.015802
     766   32.602846   31.093143    0.003288
     767   30.807348   29.720283    0.001917
     768   28.397021   27.083894    0.008228
     769   27.232811   27.433401    0.010528
     770   28.587520   28.690997    0.004821
     771   33.287143   32.590424    0.001971
     772   26.082394   26.422410    0.017414
     773   29.763066   29.655676    0.001744
     774   27.583721   28.015112    0.009081
     775   25.458216   24.784617    0.022558
     776   35.338578   33.043255    0.012033
